Date,Game,less5,less8,less9,less10,row1,row2,row3,row4,sum16,gap16,sum25,gap25,sum34,gap12,gap23,gap34,gap45,gap56,ball,ball_column,blue_sort
20230430,23048,4,16,8,5,1,31,16,2,32,28,31,25,34,1,7,14,4,2,2,3,1
20230502,23049,0,17,17,2,1,20,25,4,32,22,32,18,37,2,7,9,2,2,5,16,8
20230502,400_1,4,17,10,4,0,29,19,1,36,23,33,20,39,0,8,9,2,2,2,4,5
20230502,400_2,5,15,9,3,1,31,15,2,38,20,34,15,37,0,8,2,4,4,2,4,7
20230502,400_3,2,15,10,4,0,28,17,3,38,19,35,15,37,0,7,2,5,4,2,6,9
20230502,400_4,4,14,10,3,0,27,18,3,39,21,36,12,40,2,7,1,3,6,3,6,8
20230502,400_5,7,12,7,1,1,32,13,2,36,26,30,14,31,2,6,2,5,9,3,7,9
20230502,600_1,3,16,12,4,0,33,14,1,32,26,30,21,34,1,7,11,3,3,3,4,2
20230502,600_2,0,18,14,3,0,31,17,0,32,20,29,12,25,2,2,4,5,5,3,6,9
20230502,600_3,2,17,14,3,0,26,20,2,31,21,26,11,28,2,4,4,2,7,3,7,7
20230502,600_4,3,14,14,4,0,26,18,3,34,24,29,13,29,2,3,6,3,8,3,7,4
20230502,600_5,2,12,14,4,1,31,14,3,34,25,28,11,24,3,2,3,5,10,3,6,7
20230502,1000_1,2,15,12,5,0,33,14,1,31,25,32,22,32,1,3,15,3,1,2,7,5
20230502,1000_2,5,13,12,3,0,27,19,2,29,23,28,15,28,3,4,7,4,4,2,6,7
20230502,1000_3,2,17,16,4,1,24,21,2,25,20,19,9,21,2,5,0,3,8,3,14,9
20230502,1000_4,3,15,15,3,1,26,19,2,33,22,30,15,29,2,4,5,6,4,3,7,8
20230502,1000_5,4,14,13,3,0,27,19,2,30,25,26,11,27,5,4,2,3,9,3,11,8
