Date,Game,less5,less8,less9,less10,row1,row2,row3,row4,sum16,gap16,sum25,gap25,sum34,gap12,gap23,gap34,gap45,gap56,ball,ball_column,blue_sort
20230919,23109,1,11,5,0,0,24,23,3,34,22,24,8,23,2,2,3,3,12,3,4,12
20230921,23110,19,6,2,0,0,24,19,7,35,31,35,23,45,4,14,5,4,4,3,7,16
20230921,400_1,1,12,5,2,1,27,20,0,36,23,36,14,34,3,5,2,6,5,3,5,15
20230921,400_2,1,12,6,2,0,26,20,0,36,23,36,14,34,4,6,0,7,5,3,7,15
20230921,400_3,0,13,8,3,0,24,23,0,37,23,40,13,38,6,6,0,7,4,3,11,14
20230921,400_4,0,13,9,3,0,24,23,0,37,23,40,13,38,6,6,0,7,4,3,11,14
20230921,400_5,0,13,9,3,0,24,23,0,37,24,39,13,37,6,6,0,7,5,3,12,14
20230921,600_1,4,11,4,1,1,25,21,1,35,21,33,11,33,4,3,2,4,5,2,2,8
20230921,600_2,3,11,4,2,1,24,21,1,35,21,33,11,32,4,3,2,4,5,2,3,8
20230921,600_3,4,11,4,2,1,22,23,2,35,21,33,10,34,4,4,2,3,6,2,5,7
20230921,600_4,3,11,4,2,1,22,23,2,35,21,33,11,33,4,4,2,4,6,2,4,8
20230921,600_5,4,11,4,2,1,22,22,2,35,22,34,11,33,4,4,2,4,6,2,5,8
20230921,1000_1,2,12,7,3,1,27,19,1,36,24,33,12,32,4,3,3,5,7,3,4,10
20230921,1000_2,3,12,8,5,0,23,23,2,37,24,37,12,35,6,3,2,5,6,3,9,10
20230921,1000_3,5,12,6,3,1,23,22,3,37,25,39,13,37,7,4,2,6,4,3,9,11
20230921,1000_4,4,12,7,4,1,24,21,2,37,24,39,12,37,7,3,2,6,4,3,11,10
20230921,1000_5,4,12,6,3,1,23,23,2,36,25,37,12,34,7,3,2,6,6,3,9,10
