Date,Game,less5,less8,less9,less10,row1,row2,row3,row4,sum16,gap16,sum25,gap25,sum34,gap12,gap23,gap34,gap45,gap56,ball,ball_column,blue_sort
20231102,23126,3,14,3,1,2,35,12,1,41,21,53,5,54,14,2,2,1,2,3,10,16
20231105,400_1,2,11,11,3,0,22,23,3,26,24,25,15,28,4,6,5,4,4,3,15,14
20231105,400_2,2,10,12,3,1,21,24,2,27,25,26,16,27,4,6,5,4,4,3,14,13
20231105,400_3,2,10,13,2,0,17,29,2,26,23,26,14,28,4,5,5,3,3,3,13,13
20231105,400_4,2,9,13,3,0,16,29,2,25,22,26,14,29,4,5,5,2,3,3,16,11
20231105,400_5,2,10,13,4,0,16,29,3,22,19,22,12,23,3,4,5,2,3,4,15,11
20231105,600_1,6,11,6,0,3,27,18,1,32,27,28,17,33,3,8,4,4,6,1,5,12
20231105,600_2,14,8,2,0,7,31,10,0,33,27,31,17,32,3,7,3,6,6,1,3,12
20231105,600_3,15,7,1,0,6,32,9,0,34,27,32,16,33,4,6,4,5,5,1,2,11
20231105,600_4,8,9,3,0,3,34,11,0,35,24,32,12,33,3,4,4,3,7,2,7,7
20231105,600_5,8,8,3,1,2,34,12,0,36,24,33,12,34,3,4,5,3,7,2,7,5
20231105,1000_1,3,11,9,1,0,33,12,2,33,23,34,14,37,5,4,8,1,4,3,10,11
20231105,1000_2,8,6,6,0,2,32,11,2,33,26,34,14,37,6,4,8,1,5,2,8,12
20231105,1000_3,11,7,6,0,3,29,13,2,32,25,34,15,36,6,4,9,1,4,2,8,12
20231105,1000_4,8,8,7,0,2,32,12,2,34,24,37,15,41,5,5,8,1,3,3,9,10
20231105,1000_5,6,9,7,0,2,31,13,2,38,22,36,15,39,2,5,8,2,4,3,9,5
