row,red1,red2,red3,red4,red5,red6,red_sum_all,red_sum16,red_gap16,red_sum25,red_gap25,red_sum34,red_gap12,red_gap23,red_gap34,red_gap45,red_gap56
1_1,6,9,13,19,28,29,104,35,23,37,19,32,3,4,6,9,1,
1_2,3,5,9,15,24,26,82,29,23,29,19,24,2,4,6,9,2,
1_3,4,8,13,18,24,29,96,33,25,32,16,31,4,5,5,6,5,
1_4,5,8,14,18,23,28,96,33,23,31,15,32,3,6,4,5,5,
1_5,5,9,14,18,23,28,97,33,23,32,14,32,4,5,4,5,5,
1_6,5,12,15,17,25,30,104,35,25,37,13,32,7,3,2,8,5,
1_7,5,13,16,18,26,30,108,35,25,39,13,34,8,3,2,8,4,
1_8,1,10,15,20,25,30,101,31,29,35,15,35,9,5,5,5,5,
1_9,3,12,15,17,22,28,97,31,25,34,10,32,9,3,2,5,6,
1_10,6,13,16,18,25,29,107,35,23,38,12,34,7,3,2,7,4,
2_1,4,6,12,16,24,30,92,34,26,30,18,28,2,6,4,8,6,
2_2,3,4,11,15,25,29,87,32,26,29,21,26,1,7,4,10,4,
2_3,3,6,12,17,24,29,91,32,26,30,18,29,3,6,5,7,5,
2_4,5,8,14,18,23,28,96,33,23,31,15,32,3,6,4,5,5,
2_5,5,9,14,18,23,28,97,33,23,32,14,32,4,5,4,5,5,
2_6,7,12,14,18,26,29,106,36,22,38,14,32,5,2,4,8,3,
2_7,5,11,15,19,25,29,104,34,24,36,14,34,6,4,4,6,4,
2_8,2,6,12,15,21,29,85,31,27,27,15,27,4,6,3,6,8,
2_9,0,6,13,18,23,27,87,27,27,29,17,31,6,7,5,5,4,
2_10,3,8,14,18,25,29,97,32,26,33,17,32,5,6,4,7,4,
3_1,3,7,10,16,23,25,84,28,22,30,16,26,4,3,6,7,2,
3_2,2,4,9,15,24,27,81,29,25,28,20,24,2,5,6,9,3,
3_3,2,7,11,16,22,28,86,30,26,29,15,27,5,4,5,6,6,
3_4,6,10,15,20,24,28,103,34,22,34,14,35,4,5,5,4,4,
3_5,5,9,14,19,23,28,98,33,23,32,14,33,4,5,5,4,5,
3_6,4,16,22,25,28,30,125,34,26,44,12,47,12,6,3,3,2,
3_7,0,12,19,23,28,31,113,31,31,40,16,42,12,7,4,5,3,
3_8,0,10,16,21,28,31,106,31,31,38,18,37,10,6,5,7,3,
3_9,0,7,15,20,25,30,97,30,30,32,18,35,7,8,5,5,5,
3_10,3,10,14,19,27,30,103,33,27,37,17,33,7,4,5,8,3,
4_1,6,11,12,18,28,31,106,37,25,39,17,30,5,1,6,10,3,
4_2,5,9,13,17,27,30,101,35,25,36,18,30,4,4,4,10,3,
4_3,5,10,14,19,26,30,104,35,25,36,16,33,5,4,5,7,4,
4_4,5,9,15,19,24,28,100,33,23,33,15,34,4,6,4,5,4,
4_5,4,9,14,18,23,28,96,32,24,32,14,32,5,5,4,5,5,
4_6,6,14,16,17,25,29,107,35,23,39,11,33,8,2,1,8,4,
4_7,4,14,16,18,25,30,107,34,26,39,11,34,10,2,2,7,5,
4_8,2,10,13,17,23,28,93,30,26,33,13,30,8,3,4,6,5,
4_9,1,9,16,20,23,30,99,31,29,32,14,36,8,7,4,3,7,
4_10,2,8,15,18,24,28,95,30,26,32,16,33,6,7,3,6,4,
5_1,3,7,11,16,22,27,86,30,24,29,15,27,4,4,5,6,5,
5_2,2,6,11,14,23,26,82,28,24,29,17,25,4,5,3,9,3,
5_3,3,8,13,17,23,28,92,31,25,31,15,30,5,5,4,6,5,
5_4,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,
5_5,4,9,14,18,23,28,96,32,24,32,14,32,5,5,4,5,5,
5_6,3,9,11,15,19,33,90,36,30,28,10,26,6,2,4,4,14,
5_7,2,10,13,18,21,32,96,34,30,31,11,31,8,3,5,3,11,
5_8,0,7,10,17,23,31,88,31,31,30,16,27,7,3,7,6,8,
5_9,2,9,11,18,22,31,93,33,29,31,13,29,7,2,7,4,9,
5_10,2,10,12,18,25,30,97,32,28,35,15,30,8,2,6,7,5,
6_1,7,9,13,19,25,29,102,36,22,34,16,32,2,4,6,6,4,
6_2,5,7,13,17,23,28,93,33,23,30,16,30,2,6,4,6,5,
6_3,4,8,13,18,24,28,95,32,24,32,16,31,4,5,5,6,4,
6_4,5,9,15,19,24,28,100,33,23,33,15,34,4,6,4,5,4,
