red1
0:(0, 211.1), (0, 126.0), (0, 42.4)
1:(5.9, 205.2), (2.4, 123.6), (-1.3, 43.7)
2:(211.1, 0), (126.0, 0), (42.4, 0)
3:(173.2, 37.9), (104.5, 21.5), (37.4, 5.0)
4:(137.1, 74.0), (82.4, 43.6), (29.3, 13.1)
5:(89.0, 122.1), (52.9, 73.1), (17.8, 24.6)
6:(23.5, 187.6), (11.6, 114.4), (0.3, 42.1)
7:(14.5, 196.6), (4.6, 121.4), (-4.7, 47.1)
8:(2.6, 208.5), (-1.4, 127.4), (-5.2, 47.6)
9:(1.3, 209.8), (-0.5, 126.5), (-2.4, 44.8)
10:(0, 211.1), (0, 126.0), (0, 42.4)

red2
4:(0, 64.8), (0, -40.8), (0, -146.8)
5:(8.3, 56.5), (2.6, -43.4), (-3.0, -143.8)
6:(15.7, 49.1), (-1.5, -39.3), (-18.2, -128.6)
7:(20.0, 44.8), (-6.7, -34.1), (-33.3, -113.5)
8:(64.8, 0), (-40.8, 0), (-146.8, 0)
9:(18.8, 46.0), (-29.5, -11.3), (-79.0, -67.8)
10:(7.1, 57.7), (-22.0, -18.8), (-51.4, -95.4)
11:(4.7, 60.1), (-16.6, -24.2), (-38.3, -108.5)
12:(4.1, 60.7), (-9.9, -30.9), (-24.4, -122.4)
13:(1.6, 63.2), (-3.6, -37.2), (-8.9, -137.9)
14:(0, 64.8), (0, -40.8), (0, -146.8)

red3
8:(0, 108.3), (0, 28.5), (0, -51.5)
9:(108.3, 0), (28.5, 0), (-51.5, 0)
10:(105.8, 2.5), (28.1, 0.4), (-49.7, -1.8)
11:(98.9, 9.4), (27.4, 1.1), (-44.1, -7.4)
12:(82.7, 25.6), (21.7, 6.8), (-38.8, -12.7)
13:(69.2, 39.1), (15.9, 12.6), (-36.6, -14.9)
14:(51.8, 56.5), (12.3, 16.2), (-26.8, -24.7)
15:(34.4, 73.9), (9.0, 19.5), (-16.9, -34.6)
16:(17.8, 90.5), (4.7, 23.8), (-9.0, -42.5)
17:(17.8, 90.5), (4.7, 23.8), (-9.0, -42.5)
18:(4.2, 104.1), (0.4, 28.1), (-3.8, -47.7)
19:(0, 108.3), (0, 28.5), (0, -51.5)

red4
11:(0, 113.7), (0, 31.3), (0, -53.0)
12:(113.7, 0), (31.3, 0), (-53.0, 0)
13:(113.7, 0), (31.3, 0), (-53.0, 0)
14:(113.7, 0), (31.3, 0), (-53.0, 0)
15:(96.1, 17.6), (20.2, 11.1), (-57.8, 4.8)
16:(91.6, 22.1), (21.7, 9.6), (-49.8, -3.2)
17:(68.5, 45.2), (11.5, 19.8), (-47.1, -5.9)
