red1
-1:(0, 25.6), (0, 70.8), (0, 165.3)
0:(1.1, 24.5), (0.9, 69.9), (2.7, 162.6)
1:(5.5, 20.1), (6.7, 64.1), (18.4, 146.9)
2:(25.6, 0), (70.8, 0), (165.3, 0)
3:(18.9, 6.7), (54.1, 16.7), (125.2, 40.1)
4:(15.4, 10.2), (49.5, 21.3), (112.8, 52.5)
5:(15.2, 10.4), (45.5, 25.3), (104.7, 60.6)
6:(10.8, 14.8), (31.4, 39.4), (73.5, 91.8)
7:(5.7, 19.9), (18.0, 52.8), (42.3, 123.0)
8:(2.8, 22.8), (9.2, 61.6), (21.5, 143.8)
9:(0.6, 25.0), (4.2, 66.6), (8.8, 156.5)
10:(0.1, 25.5), (1.9, 68.9), (3.9, 161.4)
11:(0, 25.6), (0, 70.8), (0, 165.3)

red2
1:(0, 84.9), (0, 40.3), (0, 131.7)
2:(3.1, 81.8), (0.7, 39.6), (2.0, 129.7)
3:(13.0, 71.9), (6.3, 34.0), (6.5, 125.2)
4:(84.9, 0), (40.3, 0), (131.7, 0)
5:(69.1, 15.8), (32.5, 7.8), (119.3, 12.4)
6:(61.9, 23.0), (30.1, 10.2), (107.2, 24.5)
7:(49.7, 35.2), (24.5, 15.8), (97.8, 33.9)
8:(40.9, 44.0), (19.2, 21.1), (77.7, 54.0)
9:(35.6, 49.3), (17.1, 23.2), (68.9, 62.8)
10:(32.1, 52.8), (15.0, 25.3), (61.4, 70.3)
11:(28.0, 56.9), (10.3, 30.0), (48.1, 83.6)
12:(23.4, 61.5), (9.5, 30.8), (41.5, 90.2)
13:(15.0, 69.9), (5.8, 34.5), (26.2, 105.5)
14:(7.7, 77.2), (2.5, 37.8), (12.3, 119.4)
15:(7.7, 77.2), (2.5, 37.8), (12.3, 119.4)
16:(2.5, 82.4), (0.8, 39.5), (3.9, 127.8)
17:(0, 84.9), (0, 40.3), (0, 131.7)

red3
4:(0, 145.6), (0, 83.8), (0, 110.6)
5:(145.6, 0), (83.8, 0), (110.6, 0)
6:(138.2, 7.4), (78.5, 5.3), (107.1, 3.5)
7:(138.2, 7.4), (78.5, 5.3), (107.1, 3.5)
8:(129.4, 16.2), (71.7, 12.1), (102.5, 8.1)
9:(129.4, 16.2), (71.7, 12.1), (102.5, 8.1)
10:(104.0, 41.6), (56.7, 27.1), (84.9, 25.7)
11:(93.5, 52.1), (50.1, 33.7), (75.8, 34.8)
12:(84.1, 61.5), (47.4, 36.4), (61.2, 49.4)
13:(72.9, 72.7), (42.2, 41.6), (53.5, 57.1)
14:(58.7, 86.9), (38.8, 45.0), (42.5, 68.1)
15:(55.1, 90.5), (37.1, 46.7), (38.5, 72.1)
16:(51.5, 94.1), (36.0, 47.8), (32.6, 78.0)
17:(43.3, 102.3), (30.1, 53.7), (29.0, 81.6)
18:(39.0, 106.6), (29.5, 54.3), (24.8, 85.8)
19:(10.8, 134.8), (8.2, 75.6), (7.7, 102.9)
20:(0, 145.6), (0, 83.8), (0, 110.6)

red4
10:(0, 174.6), (0, 133.8), (0, 143.4)
11:(0.4, 174.2), (1.2, 132.6), (2.9, 140.5)
12:(2.7, 171.9), (1.3, 132.5), (4.9, 138.5)
13:(2.7, 171.9), (1.3, 132.5), (4.9, 138.5)
14:(174.6, 0), (133.8, 0), (143.4, 0)
15:(167.2, 7.4), (127.5, 6.3), (127.5, 15.9)
16:(167.2, 7.4), (127.5, 6.3), (127.5, 15.9)
17:(152.5, 22.1), (118.4, 15.4), (115.7, 27.7)
18:(150.0, 24.6), (115.3, 18.5), (107.0, 36.4)
19:(117.3, 57.3), (89.6, 44.2), (83.2, 60.2)
20:(74.1, 100.5), (52.6, 81.2), (50.7, 92.7)
21:(43.0, 131.6), (23.9, 109.9), (23.8, 119.6)
22:(21.7, 152.9), (9.3, 124.5), (12.5, 130.9)
23:(7.9, 166.7), (1.8, 132.0), (4.1, 139.3)
24:(3.0, 171.6), (1.0, 132.8), (1.0, 142.4)
25:(3.0, 171.6), (1.0, 132.8), (1.0, 142.4)
26:(3.0, 171.6), (1.0, 132.8), (1.0, 142.4)
27:(0, 174.6), (0, 133.8), (0, 143.4)

red5
12:(0, 183.0), (0, 103.2), (0, 103.5)
13:(2.4, 180.6), (0.3, 102.9), (2.0, 101.5)
14:(2.4, 180.6), (0.3, 102.9), (2.0, 101.5)
15:(2.4, 180.6), (0.3, 102.9), (2.0, 101.5)
16:(3.6, 179.4), (1.1, 102.1), (4.9, 98.6)
17:(11.4, 171.6), (6.6, 96.6), (8.4, 95.1)
18:(27.8, 155.2), (13.4, 89.8), (18.0, 85.5)
19:(41.4, 141.6), (19.0, 84.2), (32.5, 71.0)
20:(48.6, 134.4), (21.9, 81.3), (39.4, 64.1)
21:(73.9, 109.1), (30.7, 72.5), (51.4, 52.1)
22:(86.2, 96.8), (37.7, 65.5), (61.1, 42.4)
23:(105.8, 77.2), (49.1, 54.1), (72.4, 31.1)
24:(131.2, 51.8), (67.0, 36.2), (82.7, 20.8)
25:(156.0, 27.0), (84.1, 19.1), (91.8, 11.7)
26:(183.0, 0), (103.2, 0), (103.5, 0)
27:(0, 183.0), (0, 103.2), (0, 103.5)

red6
17:(0, 33.6), (0, 61.7), (0, 153.4)
18:(0.9, 32.7), (1.0, 60.7), (2.9, 150.5)
19:(0.9, 32.7), (1.0, 60.7), (2.9, 150.5)
20:(2.8, 30.8), (3.9, 57.8), (10.5, 142.9)
21:(6.5, 27.1), (7.1, 54.6), (20.7, 132.7)
22:(8.4, 25.2), (10.2, 51.5), (28.7, 124.7)
23:(11.3, 22.3), (14.2, 47.5), (39.7, 113.7)
24:(14.3, 19.3), (22.5, 39.2), (59.6, 93.8)
25:(14.9, 18.7), (24.1, 37.6), (63.4, 90.0)
26:(18.2, 15.4), (30.2, 31.5), (78.2, 75.2)
27:(21.2, 12.4), (37.1, 24.6), (94.7, 58.7)
28:(25.1, 8.5), (49.0, 12.7), (120.1, 33.3)
29:(30.6, 3.0), (53.3, 8.4), (133.3, 20.1)
30:(32.3, 1.3), (58.2, 3.5), (144.8, 8.6)
31:(33.0, 0.6), (59.9, 1.8), (149.0, 4.4)
32:(33.6, 0), (61.7, 0), (153.4, 0)
33:(0, 33.6), (0, 61.7), (0, 153.4)

red_sum_all
69:(0, 48.5), (0, 52.2), (0, 145.3)
70:(1.3, 47.2), (0.7, 51.5), (2.7, 142.6)
71:(1.3, 47.2), (0.7, 51.5), (2.7, 142.6)
72:(4.2, 44.3), (1.1, 51.1), (5.0, 140.3)
73:(4.2, 44.3), (1.1, 51.1), (5.0, 140.3)
74:(4.2, 44.3), (1.1, 51.1), (5.0, 140.3)
75:(4.2, 44.3), (1.1, 51.1), (5.0, 140.3)
76:(4.2, 44.3), (1.1, 51.1), (5.0, 140.3)
77:(4.2, 44.3), (1.1, 51.1), (5.0, 140.3)
