13: [3, 4, 1, 2, 1, 2, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 2, 2, 2, 1]
141: [3, 1, 2, 1, 2, 2, 4, 1, 0, 1, 0, 1, 1, 0, 3, 1, 1, 0, 1, 0]
172: [3, 0, 0, 0, 1, 3, 0, 0, 1, 1, 1, 1, 1, 1, 2, 1, 1, 0, 0, 0]
10: [3, 1, 0, 0, 0, 3, 1, 1, 0, 0, 2, 0, 1, 3, 2, 2, 0, 1, 3, 1]
81: [4, 0, 2, 2, 1, 2, 0, 2, 1, 2, 0, 3, 1, 1, 1, 0, 1, 1, 0, 1]
82: [4, 2, 2, 2, 2, 1, 1, 1, 0, 2, 1, 1, 1, 0, 1, 2, 0, 2, 1, 0]
190: [3, 0, 1, 3, 1, 1, 2, 1, 1, 1, 1, 0, 4, 1, 1, 0, 2, 0, 2, 0]
3: [3, 3, 0, 0, 3, 1, 0, 1, 0, 1, 1, 1, 2, 0, 2, 2, 1, 1, 2, 1]
70: [3, 4, 0, 1, 1, 3, 1, 3, 1, 1, 1, 0, 2, 1, 0, 1, 1, 2, 0, 2]
153: [3, 3, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 3, 1, 1, 1, 2, 2, 1, 0]
76: [3, 1, 1, 1, 0, 0, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1]
