5: [4.7|6.6|8.9] [7, 8, 7, 6, 4, 6, 7, 5, 6, 6, 7, 10, 6, 8, 8, 7, 10, 8, 8, 6]
6: [4.7|6.7|9.0] [5, 6, 9, 7, 9, 3, 6, 5, 7, 7, 7, 8, 8, 9, 9, 7, 8, 6, 8, 6]
13: [4.7|6.7|8.7] [4, 8, 7, 8, 7, 9, 7, 3, 8, 8, 8, 9, 10, 5, 6, 9, 7, 6, 5, 7]
14: [4.3|6.8|9.3] [7, 9, 10, 7, 6, 9, 9, 3, 9, 7, 8, 9, 10, 6, 3, 9, 7, 5, 8, 8]
19: [5.1|6.9|8.7] [7, 7, 8, 7, 9, 7, 6, 8, 9, 8, 7, 9, 8, 8, 5, 9, 8, 8, 7, 6]
2: [5.0|7.0|9.1] [3, 8, 10, 9, 8, 8, 8, 6, 7, 5, 9, 6, 8, 3, 8, 7, 8, 4, 6, 10]
7: [5.0|7.1|9.3] [6, 4, 9, 5, 8, 8, 10, 8, 8, 8, 8, 7, 5, 5, 5, 6, 9, 6, 9, 5]
15: [5.4|7.1|8.9] [7, 7, 10, 6, 7, 6, 7, 6, 9, 6, 9, 7, 8, 6, 7, 9, 6, 7, 8, 9]
11: [5.1|7.2|9.1] [5, 9, 6, 7, 9, 7, 10, 6, 9, 4, 7, 8, 6, 5, 9, 9, 10, 8, 8, 6]
4: [5.2|7.2|9.1] [6, 9, 10, 8, 6, 4, 7, 5, 6, 7, 8, 7, 8, 7, 8, 8, 8, 9, 7, 8]
9: [5.2|7.2|9.2] [8, 8, 9, 9, 5, 7, 6, 6, 8, 6, 9, 8, 9, 6, 8, 8, 8, 6, 8, 7]
17: [5.3|7.3|9.5] [7, 7, 9, 6, 8, 8, 7, 4, 7, 7, 9, 6, 7, 7, 8, 8, 4, 7, 8, 8]
3: [5.4|7.4|9.3] [7, 7, 10, 8, 9, 9, 9, 8, 5, 6, 10, 7, 9, 9, 6, 8, 5, 6, 8, 7]
1: [5.6|7.4|9.6] [5, 9, 9, 9, 8, 7, 6, 5, 9, 7, 10, 7, 7, 8, 7, 4, 6, 8, 10, 9]
12: [5.6|7.4|9.2] [7, 10, 8, 8, 7, 9, 8, 5, 7, 8, 7, 8, 7, 7, 5, 9, 7, 8, 9, 9]
8: [5.7|7.5|9.5] [6, 10, 7, 6, 9, 7, 7, 7, 10, 7, 9, 8, 9, 10, 4, 8, 7, 7, 10, 5]
10: [5.6|7.6|9.8] [8, 9, 8, 6, 6, 9, 9, 4, 9, 5, 8, 9, 7, 6, 9, 7, 8, 8, 8, 5]
16: [5.5|7.8|9.9] [8, 9, 7, 7, 8, 9, 10, 6, 7, 6, 8, 10, 5, 8, 8, 5, 6, 6, 8, 7]
18: [6.1|7.9|9.8] [8, 9, 6, 9, 7, 5, 7, 8, 8, 6, 9, 7, 10, 8, 4, 7, 7, 7, 8, 9]
20: [6.3|8.2|10.2] [7, 6, 9, 8, 7, 9, 10, 5, 8, 7, 6, 8, 8, 8, 10, 10, 9, 8, 7, 4]
