key,gap,pro1,pro2,pro3,range1,range2
15_9___1__,0,-1.5,0.9,3.0,3,3
11_8___1__,2,-1.6,0.7,2.8,3,7
8_8___1__,0,-0.8,1.0,3.2,3,4
19_8___1__,0,-1.6,1.1,3.4,3,3
2_9___1__,2,-0.7,1.3,3.4,3,3
3_8___1__,0,0.3,2.4,4.5,3,9
10_8___1__,0,-1.1,0.6,2.4,3,4
15_8___1__,2,-1.0,1.4,3.8,3,6
17_8___1__,0,-0.3,1.7,3.7,3,6
4_6___1__,0,-1.2,0.9,3.0,3,3
4_8___1__,0,-1.7,1.1,3.6,3,4
5_8___1__,0,0.3,2.3,4.3,3,6
8_7___1__,2,-0.7,1.3,3.6,2,3
8_9___1__,2,-0.5,1.6,3.3,3,4
8_10___1__,0,-0.4,1.7,4.1,2,3
9_10___1__,0,-1.1,0.9,3.0,1,3
11_9___1__,2,-1.9,0.7,3.3,3,4
15_10___1__,3,-0.9,1.5,3.9,2,3
17_7___1__,2,-0.7,1.1,2.7,3,4
3_1___1__,3,-1.3,1.2,3.6,0,3
18_7___1__,3,0.2,2.1,4.3,2,3
2_1___1__,3,0.1,2.1,4.1,0,3
12_7___1__,0,-0.8,1.5,3.6,3,9
18_6___1__,3,-0.6,1.7,4.0,3,5
1_7___1__,2,0.2,2.8,5.2,1,3
6_1___1__,3,0.6,3.0,5.2,0,3
7_3___1__,3,-1.3,1.6,4.7,3,5
7_7___1__,3,-0.2,2.0,4.1,2,3
8_1___1__,3,-0.9,1.4,3.5,1,3
9_7___1__,3,-0.6,1.8,4.2,3,3
11_3___1__,3,-0.1,2.3,4.7,3,5
1_6___1__,3,-0.3,2.5,5.3,3,5
2_2___1__,0,0.0,1.9,3.8,3,4
2_3___1__,3,-0.6,2.0,4.7,3,4
3_2___1__,3,-0.6,1.2,3.0,3,6
3_3___1__,3,-0.0,3.0,5.7,3,6
5_1___1__,3,-1.1,1.3,3.7,0,3
6_7___1__,2,-0.6,1.5,3.7,3,4
7_2___1__,0,0.6,2.6,4.5,3,6
9_3___1__,3,-0.6,1.6,3.8,3,5
8_7___2__,2,-1.0,0.7,2.7,7,8
11_10___2__,0,-1.5,0.8,3.0,5,8
12_8___2__,0,-0.5,1.7,4.0,8,14
14_10___2__,0,-0.9,1.7,4.8,5,8
2_10___2__,0,-0.9,1.2,3.3,7,8
5_6___2__,0,-1.5,0.5,2.7,7,8
8_8___2__,0,-0.9,1.2,3.2,8,10
14_7___2__,0,-1.4,0.9,3.2,7,8
14_9___2__,0,-0.7,1.8,4.4,7,8
15_9___2__,2,-1.2,0.6,2.5,8,8
17_9___2__,0,-0.7,1.2,3.0,8,9
17_10___2__,0,-1.1,1.3,3.6,7,8
19_8___2__,0,-0.7,1.9,4.4,8,10
20_6___2__,0,-1.2,0.7,2.6,8,11
3_8___2__,0,-0.1,2.1,4.4,8,12
4_6___2__,0,-0.5,1.8,4.2,8,10
4_7___2__,0,-0.4,2.1,4.7,7,8
5_9___2__,2,0.1,2.6,5.2,8,11
5_10___2__,0,0.2,3.0,5.8,8,8
7_2___2__,0,-1.0,1.8,4.5,8,10
2_2___2__,0,0.6,3.8,7.1,8,8
9_1___2__,9,0.1,3.5,6.6,5,8
14_3___2__,5,0.1,3.7,7.3,8,9
18_3___2__,8,-1.8,1.9,5.3,8,10
4_1___2__,4,-1.5,1.1,4.1,8,8
6_1___2__,7,-1.3,2.1,5.6,3,8
12_1___2__,4,-2.6,0.7,4.2,8,8
15_2___2__,7,-2.5,1.2,4.8,8,10
17_3___2__,4,-0.8,2.5,5.9,8,9
20_1___2__,0,-0.7,2.1,5.0,3,8
1_1___2__,7,-1.2,1.8,4.9,6,8
1_2___2__,0,-0.4,3.0,6.4,8,11
1_3___2__,14,-1.0,2.0,5.0,8,11
1_10___2__,3,0.2,3.0,6.2,3,8
2_1___2__,7,-0.3,2.5,5.4,3,8
2_3___2__,8,-0.2,2.5,5.3,8,9
5_3___2__,0,-1.5,2.0,5.3,8,11
7_7___2__,9,-0.3,1.6,3.6,8,9
8_1___2__,4,-1.3,1.2,3.8,5,8
9_10___2__,2,-0.3,2.2,4.6,7,8
3_8___3__,1,-0.3,1.4,3.2,11,22
13_7___3__,2,-1.0,1.0,3.1,11,22
13_8___3__,1,-1.3,0.4,2.3,11,21
17_7___3__,2,-0.3,1.4,3.1,11,21
2_9___3__,2,-0.8,1.2,3.1,11,21
3_2___3__,1,-1.1,1.3,3.5,11,18
5_9___3__,2,0.8,2.9,5.1,11,17
6_9___3__,1,0.2,2.1,4.0,11,20
7_8___3__,2,-0.1,1.5,3.2,11,23
8_7___3__,2,-1.6,1.0,3.4,11,17
9_2___3__,1,-0.4,1.5,3.6,11,16
11_7___3__,2,-0.5,1.2,3.0,11,18
14_8___3__,1,-0.7,1.0,2.7,11,19
16_9___3__,1,-0.1,1.8,3.6,11,16
17_9___3__,2,-1.3,0.8,2.8,11,20
4_6___3__,2,-0.2,2.0,4.3,11,23
5_8___3__,2,-0.7,1.6,4.1,11,19
6_8___3__,2,-0.4,1.6,3.5,11,23
8_8___3__,2,-0.6,1.3,3.4,11,20
9_6___3__,2,-0.6,1.5,3.4,11,20
12_1___3__,1,-0.6,1.6,3.8,11,15
14_1___3__,1,-0.6,1.8,4.0,9,11
6_6___3__,2,0.2,2.6,5.1,11,23
12_6___3__,7,-0.6,2.0,4.2,11,23
14_6___3__,9,-0.6,1.0,2.9,11,19
19_3___3__,5,-0.5,2.0,4.6,11,16
1_1___3__,1,-1.0,1.4,3.9,7,11
1_7___3__,2,0.6,3.1,5.7,11,11
2_1___3__,1,-0.8,1.0,2.9,10,11
2_3___3__,1,-0.4,1.8,4.0,11,13
2_7___3__,5,-0.3,1.9,4.3,11,21
2_10___3__,5,-0.1,1.7,3.7,11,19
3_10___3__,5,0.2,1.9,3.6,11,16
