Date,Game,less5,less8,less9,less10,row1,row2,row3,row4,sum_all,sum16,gap16,sum25,gap25,sum34,gap12,gap23,gap34,gap45,gap56,ball,ball_column,blue,blue_sort
20240919,24109,2,6,5,1,0,2,18,0,121,36,30,33,25,52,1,20,4,1,4,3,10,9,2
20240922,24110,8,2,1,0,2,9,7,2,115,37,29,38,12,40,9,4,6,2,8,2,2,14,12
20240922,100_1,4,2,2,1,1,9,8,0,64,21,18,22,9,16,3,2,1,7,4,1,1,12,12
20240922,100_2,4,3,2,1,1,8,9,0,67,22,16,23,10,18,1,3,0,7,3,1,1,8,9
20240922,100_3,5,1,1,0,2,9,8,0,77,26,17,27,10,21,2,3,1,7,3,1,0,8,10
20240922,100_4,4,2,1,1,1,10,7,0,74,25,18,25,10,19,2,3,0,8,4,1,0,6,11
20240922,100_5,3,3,2,1,1,10,7,0,78,27,15,27,8,20,2,2,0,7,4,1,1,6,10
20240922,200_1,2,4,6,1,0,9,9,0,74,23,18,26,12,23,4,3,3,6,1,1,2,6,3
20240922,200_2,1,4,6,1,0,10,7,0,72,24,17,27,12,19,3,1,3,8,0,0,1,7,2
20240922,200_3,3,3,5,0,1,10,7,0,92,29,19,33,11,27,6,2,1,7,1,0,1,7,1
20240922,200_4,3,2,4,0,1,13,5,0,95,32,18,33,8,29,6,2,0,5,4,0,0,7,5
20240922,200_5,1,3,6,1,0,13,5,0,90,30,18,32,8,27,6,1,1,5,3,1,0,8,6
20240922,300_1,2,4,2,0,0,10,8,0,73,24,21,26,15,21,3,1,7,6,2,1,2,8,4
20240922,300_2,2,4,3,1,0,9,9,0,80,27,20,29,15,22,2,1,7,7,1,1,3,8,6
20240922,300_3,3,3,2,0,1,9,8,0,83,28,19,30,13,23,4,0,5,7,2,0,1,7,7
20240922,300_4,3,3,2,0,1,10,8,0,87,31,19,31,11,23,3,0,3,8,3,0,1,7,7
20240922,300_5,2,4,3,0,0,12,7,0,84,31,17,29,11,22,2,1,2,8,3,1,2,7,2
