row,red1,red2,red3,red4,red5,red6,red_sum_all,red_sum16,red_gap16,red_sum25,red_gap25,red_sum34,red_gap12,red_gap23,red_gap34,red_gap45,red_gap56,red_blue
1_1,1,4,13,18,23,30,89,31,29,27,19,31,3,9,5,5,7,10
1_2,5,9,17,21,25,30,107,35,25,34,16,38,4,8,4,4,5,9
1_3,3,10,16,21,25,29,104,32,26,35,15,37,7,6,5,4,4,8
1_4,3,8,14,19,24,28,96,31,25,32,16,33,5,6,5,5,4,7
1_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,8
1_6,2,4,16,20,27,32,101,34,30,31,23,36,2,12,4,7,5,8
1_7,1,8,15,21,24,31,100,32,30,32,16,36,7,7,6,3,7,9
1_8,1,7,16,20,23,32,99,33,31,30,16,36,6,9,4,3,9,9
1_9,1,7,16,21,26,31,102,32,30,33,19,37,6,9,5,5,5,9
1_10,2,7,12,18,25,28,92,30,26,32,18,30,5,5,6,7,3,2
2_1,0,2,8,11,19,25,65,25,25,21,17,19,2,6,3,8,6,3
2_2,1,4,10,19,26,30,90,31,29,30,22,29,3,6,9,7,4,7
2_3,5,11,17,20,24,29,106,34,24,35,13,37,6,6,3,4,5,9
2_4,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,8
2_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,8
2_6,4,7,12,17,25,29,94,33,25,32,18,29,3,5,5,8,4,3
2_7,2,6,14,22,27,28,99,30,26,33,21,36,4,8,8,5,1,7
2_8,2,8,15,19,26,29,99,31,27,34,18,34,6,7,4,7,3,6
2_9,1,9,16,21,27,29,103,30,28,36,18,37,8,7,5,6,2,8
2_10,2,8,16,18,25,28,97,30,26,33,17,34,6,8,2,7,3,4
3_1,2,5,11,14,20,26,78,28,24,25,15,25,3,6,3,6,6,5
3_2,3,7,12,19,26,30,97,33,27,33,19,31,4,5,7,7,4,8
3_3,4,12,18,21,25,30,110,34,26,37,13,39,8,6,3,4,5,6
3_4,3,8,14,19,24,28,96,31,25,32,16,33,5,6,5,5,4,7
3_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,8
3_6,5,11,13,18,25,29,101,34,24,36,14,31,6,2,5,7,4,2
3_7,2,11,13,20,27,30,103,32,28,38,16,33,9,2,7,7,3,3
3_8,2,11,15,19,26,29,102,31,27,37,15,34,9,4,4,7,3,6
3_9,0,12,15,21,27,29,104,29,29,39,15,36,12,3,6,6,2,7
3_10,0,12,16,21,27,28,104,28,28,39,15,37,12,4,5,6,1,6
4_1,3,13,16,19,23,30,104,33,27,36,10,35,10,3,3,4,7,10
4_2,2,8,15,20,28,32,105,34,30,36,20,35,6,7,5,8,4,8
4_3,2,10,16,20,25,30,103,32,28,35,15,36,8,6,4,5,5,9
4_4,3,9,14,19,25,29,99,32,26,34,16,33,6,5,5,6,4,8
4_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,8
4_6,2,4,8,15,26,28,83,30,26,30,22,23,2,4,7,11,2,1
4_7,1,4,11,19,25,29,89,30,28,29,21,30,3,7,8,6,4,3
4_8,1,6,10,19,26,30,92,31,29,32,20,29,5,4,9,7,4,6
4_9,2,4,11,19,25,29,90,31,27,29,21,30,2,7,8,6,4,6
4_10,2,6,10,19,27,29,93,31,27,33,21,29,4,4,9,8,2,5
5_1,1,6,10,13,17,26,73,27,25,23,11,23,5,4,3,4,9,11
5_2,1,6,11,18,26,30,92,31,29,32,20,29,5,5,7,8,4,6
5_3,3,10,16,19,25,29,102,32,26,35,15,35,7,6,3,6,4,8
5_4,4,8,14,19,24,29,98,33,25,32,16,33,4,6,5,5,5,8
5_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,8
5_6,2,7,13,17,27,30,96,32,28,34,20,30,5,6,4,10,3,5
5_7,2,6,13,21,27,29,98,31,27,33,21,34,4,7,8,6,2,6
5_8,4,7,15,20,26,29,101,33,25,33,19,35,3,8,5,6,3,7
5_9,4,7,14,21,26,29,101,33,25,33,19,35,3,7,7,5,3,7
5_10,3,6,12,21,27,28,97,31,25,33,21,33,3,6,9,6,1,6
6_1,1,5,8,12,21,26,73,27,25,26,16,20,4,3,4,9,5,9
6_2,2,6,13,19,28,30,98,32,28,34,22,32,4,7,6,9,2,8
6_3,3,9,15,19,25,29,100,32,26,34,16,34,6,6,4,6,4,9
6_4,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,8
6_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,8
6_6,3,6,10,15,22,25,81,28,22,28,16,25,3,4,5,7,3,3
6_7,5,8,12,22,28,30,105,35,25,36,20,34,3,4,10,6,2,4
6_8,5,9,12,20,29,29,104,34,24,38,20,32,4,3,8,9,0,6
6_9,4,10,14,22,28,29,107,33,25,38,18,36,6,4,8,6,1,8
6_10,5,9,15,22,27,28,106,33,23,36,18,37,4,6,7,5,1,7
7_1,3,8,16,19,21,27,94,30,24,29,13,35,5,8,3,2,6,11
7_2,3,5,12,19,28,33,100,36,30,33,23,31,2,7,7,9,5,7
7_3,3,9,14,20,25,29,100,32,26,34,16,34,6,5,6,5,4,6
7_4,4,8,14,19,24,28,97,32,24,32,16,33,4,6,5,5,4,8
7_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,8
7_6,4,10,16,16,23,28,97,32,24,33,13,32,6,6,0,7,5,5
7_7,2,8,17,24,26,28,105,30,26,34,18,41,6,9,7,2,2,2
7_8,2,9,15,19,23,27,95,29,25,32,14,34,7,6,4,4,4,5
7_9,0,6,17,24,26,29,102,29,29,32,20,41,6,11,7,2,3,5
7_10,2,7,16,22,25,27,99,29,25,32,18,38,5,9,6,3,2,4
8_1,0,6,13,18,24,29,90,29,29,30,18,31,6,7,5,6,5,6
8_2,2,7,16,22,27,31,105,33,29,34,20,38,5,9,6,5,4,6
8_3,4,10,18,21,26,30,109,34,26,36,16,39,6,8,3,5,4,9
8_4,4,9,15,20,24,29,101,33,25,33,15,35,5,6,5,4,5,8
8_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,8
8_6,3,10,16,18,24,27,98,30,24,34,14,34,7,6,2,6,3,1
8_7,3,13,23,24,29,30,122,33,27,42,16,47,10,10,1,5,1,5
8_8,3,12,17,20,26,30,108,33,27,38,14,37,9,5,3,6,4,6
8_9,3,11,17,22,26,29,108,32,26,37,15,39,8,6,5,4,3,8
8_10,3,9,18,23,28,29,110,32,26,37,19,41,6,9,5,5,1,5
9_1,0,5,11,17,21,26,80,26,26,26,16,28,5,6,6,4,5,8
9_2,2,8,14,18,26,30,98,32,28,34,18,32,6,6,4,8,4,4
9_3,3,10,16,20,26,30,105,33,27,36,16,36,7,6,4,6,4,9
9_4,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,8
9_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,8
9_6,0,8,19,25,28,30,110,30,30,36,20,44,8,11,6,3,2,7
9_7,1,8,16,24,30,32,111,33,31,38,22,40,7,8,8,6,2,4
9_8,0,6,16,23,28,32,105,32,32,34,22,39,6,10,7,5,4,6
9_9,1,8,16,22,29,31,107,32,30,37,21,38,7,8,6,7,2,7
9_10,3,8,15,22,28,29,105,32,26,36,20,37,5,7,7,6,1,6
10_1,0,7,12,14,17,25,75,25,25,24,10,26,7,5,2,3,8,7
10_2,1,5,10,15,26,29,86,30,28,31,21,25,4,5,5,11,3,3
10_3,3,9,16,20,25,29,102,32,26,34,16,36,6,7,4,5,4,7
10_4,4,8,14,19,24,29,98,33,25,32,16,33,4,6,5,5,5,8
10_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,8
10_6,3,6,15,24,26,28,102,31,25,32,20,39,3,9,9,2,2,1
10_7,1,6,12,19,25,29,92,30,28,31,19,31,5,6,7,6,4,5
10_8,3,8,12,21,26,30,100,33,27,34,18,33,5,4,9,5,4,5
10_9,2,8,11,20,25,29,95,31,27,33,17,31,6,3,9,5,4,7
10_10,1,7,12,20,26,28,94,29,27,33,19,32,6,5,8,6,2,5
11_1,2,8,12,14,22,28,86,30,26,30,14,26,6,4,2,8,6,10
11_2,4,8,17,20,26,31,106,35,27,34,18,37,4,9,3,6,5,10
