Column,Red1,Red2,Red3,Red4,Red5,Red6,Red7,Red8,Red9,Red10
Red1,1,1,0,0,0,0,0,0,0,0
Red2,0,0,1,1,1,1,1,1,1,1
Red3,0,0,0,1,1,1,1,1,1,0
Red4,0,1,1,0,0,0,1,1,1,1
Red5,0,0,0,0,0,0,0,0,0,0
Red6,1,0,0,0,1,1,1,1,0,1
RedSum16,0,0,0,0,0,0,0,0,0,0
RedGap16,0,0,0,0,0,1,0,0,0,1
RedSum25,1,1,1,1,1,0,1,1,0,1
RedGap25,0,0,0,0,0,0,0,0,1,1
RedSum34,1,0,0,0,0,0,0,1,1,0
RedGap12,0,0,0,0,0,1,1,0,0,0
RedGap23,1,1,0,1,1,1,0,0,0,1
RedGap34,0,0,0,0,0,1,1,0,1,1
RedGap45,0,0,0,0,0,0,0,0,0,1
RedGap56,0,0,1,1,1,1,1,1,0,0
RedSum_,1,1,0,0,0,0,0,0,0,0
