Date,Game,less5,less8,less9,less10,row1,row2,row3,row4,sum_all,sum16,gap16,sum25,gap25,sum34,gap12,gap23,gap34,gap45,gap56,ball,ball_column,blue,blue_sort
20160515,16055,3,5,2,0,0,12,6,2,85,31,21,28,16,26,1,4,6,6,4,0,0,11,4
20160517,16056,0,9,6,0,1,13,6,0,60,21,15,20,12,19,1,4,3,5,2,0,0,14,12
20160519,16057,2,5,4,2,1,13,6,0,109,33,19,35,11,41,5,7,3,1,3,0,0,11,8
20160522,16058,1,2,6,4,0,9,11,0,102,35,29,29,19,38,2,13,2,4,8,0,0,11,11
20160524,16059,0,3,4,6,0,8,9,3,100,32,24,36,14,32,7,1,8,5,3,0,0,15,15
20160526,16060,0,8,7,4,0,10,8,2,118,36,28,34,24,48,1,17,4,3,3,0,0,8,1
20160529,16061,2,2,2,2,0,12,8,0,89,37,27,26,14,26,1,2,10,2,12,0,0,8,1
20160531,16062,0,8,3,4,0,15,5,0,98,33,9,32,6,33,1,2,3,1,2,0,0,9,3
20160602,16063,2,6,6,0,1,11,7,1,134,48,16,45,11,41,1,1,5,5,4,0,0,7,1
20160605,16064,1,7,3,2,0,12,7,1,91,29,23,31,7,31,9,2,3,2,7,0,0,3,9
20160607,16065,5,5,1,1,1,14,5,0,129,40,14,42,10,47,3,6,3,1,1,0,0,14,14
20160609,16066,7,4,4,0,4,6,10,0,80,23,17,26,12,31,4,6,5,1,1,0,0,5,4
20160612,16067,0,10,3,0,0,9,9,2,118,40,22,40,14,38,4,5,2,7,4,0,0,4,9
20160614,16068,4,6,2,0,1,7,10,2,141,40,24,50,12,51,11,4,5,3,1,0,0,1,11
20160616,16069,9,6,0,0,1,17,2,0,97,35,19,31,11,31,2,1,9,1,6,0,0,11,4
20160619,16070,1,8,4,1,1,13,6,0,90,32,26,29,17,29,3,5,7,5,6,0,0,1,14
20160621,16071,0,8,5,1,0,12,8,0,155,51,13,50,8,54,2,5,2,1,3,0,0,1,15
20160623,16072,2,7,5,2,0,12,7,1,111,30,20,40,8,41,11,3,3,2,1,0,0,2,11
20160626,16073,4,5,6,1,2,13,3,2,83,29,11,27,5,27,2,1,3,1,4,0,0,13,3
20160628,16074,0,4,6,3,0,11,8,1,84,31,19,30,10,23,4,1,1,8,5,1,3,12,7
20160630,16075,4,5,1,0,1,9,10,0,87,33,31,32,26,22,2,3,10,13,3,2,3,7,3
20160703,16076,10,1,0,0,1,12,7,0,112,39,25,38,22,35,1,5,9,8,2,2,2,1,15
20160705,16077,0,10,2,2,0,3,17,0,95,30,28,29,11,36,8,8,2,1,9,4,7,10,4
20160707,16078,0,7,4,2,0,5,14,1,92,31,27,30,22,31,2,4,15,3,3,3,6,2,9
20160710,16079,5,5,1,1,0,12,7,1,78,29,27,27,21,22,2,7,2,12,4,3,6,2,10
20160712,16080,2,3,7,3,6,9,4,0,115,33,31,41,9,41,15,1,7,1,7,3,5,14,11
