Date,red1,red2,red3,red4,red5,red6,sum_all,sum16,sum25,sum34,gap56,ball,row1,less10,less5,less8,gap25,gap16,gap34,gap45,gap23,gap12,less9,row2,row3,row4,ball_column,blue,blue_sort
20230316,2,1,2,3,3,3,3,2,2,3,2,3,3,1,3,1,2,3,3,1,2,2,3,3,3,2,3,2,3
20230319,3,3,3,2,3,1,2,2,2,3,3,2,3,1,3,3,3,1,1,3,1,2,3,3,3,3,2,2,2
20230321,2,2,3,3,3,3,3,3,3,3,1,1,2,1,2,2,2,1,2,2,3,3,2,3,1,1,3,3,1
20230323,2,3,1,1,1,1,1,1,3,1,2,2,1,3,3,2,3,2,2,1,3,3,3,2,2,2,1,3,2
20230326,2,2,2,1,2,2,2,2,2,2,2,3,2,3,2,1,2,3,2,2,2,3,1,2,3,1,2,2,3
20230328,2,2,2,2,3,3,3,3,3,3,2,1,1,2,1,1,2,3,2,1,2,1,1,1,1,3,3,3,2
20230330,3,1,1,3,2,2,2,3,2,2,3,1,1,1,1,1,3,3,3,3,1,1,1,2,2,2,3,3,3
20230402,3,2,2,2,2,2,3,3,3,3,3,3,2,3,1,3,2,3,1,2,1,3,1,3,3,2,2,2,1
20230404,1,3,3,3,2,2,3,2,3,3,3,2,1,1,2,2,2,2,1,2,2,3,3,2,1,1,3,2,2
20230406,2,2,2,2,3,2,2,2,2,2,1,2,2,2,2,3,3,3,1,3,3,2,2,3,2,2,2,2,3
20230409,1,2,3,2,2,2,3,3,3,3,3,3,1,3,2,2,1,2,1,2,3,3,3,3,3,2,3,2,1
20230411,2,3,2,2,2,2,2,2,2,2,3,1,1,3,1,2,2,2,2,1,2,2,3,3,1,1,1,2,3
20230413,2,2,2,3,3,2,3,3,3,3,3,1,3,3,2,2,3,2,3,2,3,2,2,3,3,2,3,1,2
20230416,3,3,2,2,2,2,2,2,2,2,2,1,2,3,2,2,1,2,1,2,2,2,1,3,2,3,2,2,2
20230418,2,2,2,2,2,2,3,2,3,3,2,3,2,3,2,3,3,2,2,1,2,3,3,2,1,2,2,1,2
20230420,2,1,2,2,1,2,1,3,1,2,2,3,2,2,2,3,1,2,1,2,3,2,2,1,1,3,3,3,2
20230423,1,3,2,2,2,2,1,2,2,2,2,3,2,3,3,3,3,2,3,2,1,2,3,1,2,1,3,2,2
20230425,2,2,2,2,2,1,2,2,2,3,1,1,2,1,2,2,2,2,1,2,3,2,2,2,2,2,1,2,2
20230427,2,2,2,1,3,2,3,2,3,2,1,2,1,1,2,2,3,3,2,3,1,1,2,2,2,2,2,2,2
20230430,2,3,2,3,2,2,2,2,2,1,1,3,1,2,2,3,3,1,3,2,1,3,1,2,2,1,3,2,3
20230502,2,2,2,1,2,2,3,1,2,3,1,3,1,2,2,3,1,2,1,2,1,1,3,2,3,2,3,3,2
20230504,2,1,2,2,2,2,2,2,2,2,2,1,2,3,1,1,1,2,2,2,2,2,2,3,3,1,2,2,2
20230507,3,3,3,3,3,3,3,3,3,3,1,3,3,2,3,3,3,3,2,2,1,1,3,1,3,2,3,3,3
20230509,2,2,3,2,2,3,3,2,2,3,1,2,1,3,2,1,2,1,2,2,3,3,3,1,3,3,3,2,2
20230511,2,2,2,2,3,2,2,1,2,2,3,2,2,2,2,1,3,2,2,2,3,2,3,1,2,1,2,3,3
20230514,2,2,3,3,3,2,3,1,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,1,3,1,2
20230516,2,2,3,2,2,3,2,2,1,3,2,1,1,2,1,2,3,2,1,3,3,1,1,3,2,1,1,3,2
20230518,3,3,2,2,2,3,2,3,2,2,3,3,2,1,1,3,3,2,1,2,3,2,1,3,3,1,3,2,2
20230521,2,2,2,2,2,1,3,2,3,2,1,1,3,2,3,3,3,3,3,2,2,2,2,2,2,1,1,2,3
20230523,2,3,3,3,3,3,3,3,3,3,2,3,1,2,3,3,3,2,2,2,1,3,3,2,2,1,3,3,1
20230525,2,2,2,2,2,1,1,1,1,1,2,3,3,1,1,3,2,3,2,2,2,2,1,1,1,3,2,2,2
20230528,3,2,2,2,3,1,3,3,3,2,2,1,1,2,2,1,2,3,3,3,1,2,3,3,3,2,2,2,2
20230530,2,2,3,3,3,3,3,3,3,3,3,1,2,1,3,3,3,3,2,3,3,1,1,3,1,3,3,3,3
20230601,3,3,3,3,2,2,3,3,3,3,2,3,2,1,2,2,3,1,2,1,2,3,1,3,3,2,2,1,1
20230604,2,2,2,2,2,2,2,2,2,2,2,1,1,3,3,2,2,1,2,1,3,3,2,2,2,2,2,1,1
20230606,2,2,2,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,2,2,2,2,2,2,3,2,2,2
20230608,1,3,2,2,2,3,3,2,3,2,3,3,3,1,1,2,2,3,2,2,2,3,2,2,2,2,1,3,3
20230611,1,2,3,3,1,2,3,2,3,3,2,1,2,1,3,2,2,2,3,3,2,3,3,2,2,3,3,2,2
20230613,2,3,2,2,2,2,2,1,2,2,1,1,1,1,3,3,3,3,2,1,3,2,3,3,3,1,2,3,2
20230615,2,2,2,2,2,2,2,3,2,2,1,1,1,1,2,2,2,3,2,3,2,3,3,2,2,2,2,2,2
20230618,3,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,3,3,1,3,1,2,3,2,2,2,2,1,2
20230620,2,2,3,3,3,3,3,2,3,3,2,1,3,2,3,1,3,3,2,1,3,1,3,1,3,3,2,1,1
20230622,2,2,2,2,2,2,2,3,2,2,1,3,2,2,2,2,2,3,2,2,2,2,2,3,3,3,2,2,3
20230625,2,2,2,2,2,3,2,2,2,1,3,2,2,2,3,3,3,3,3,2,2,2,3,3,3,3,2,2,2
20230627,3,2,2,3,1,1,3,2,3,3,1,1,1,2,3,1,3,1,3,3,3,3,3,1,1,1,1,2,2
20230629,1,1,3,2,3,3,3,3,3,3,2,1,2,1,3,1,2,3,2,2,2,2,2,3,3,2,2,2,2
20230702,3,2,3,2,3,2,3,3,3,3,2,3,2,3,3,2,3,2,2,3,3,3,3,3,3,2,3,3,3
20230704,2,3,2,2,2,3,3,3,3,2,2,3,1,1,1,2,1,1,3,2,3,3,1,1,1,1,3,2,2
20230706,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,2,1,2,1,2,1,1,2,1,1,2,3,3
