Date,9_3,9_6,25_6,12_6,43_10,1_9,2_10,27_1,38_6,46_8,49_7,1_3,2_2,2_7,2_9,8_9,19_9,20_7,22_1,25_8
20231112,2,0,0,0,1,1,1,2,1,1,0,2,0,0,2,0,1,1,1,1
20231114,1,0,0,0,0,1,2,0,1,0,1,0,2,1,0,0,0,0,0,0
20231116,2,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
20231119,0,0,1,0,1,0,1,1,2,0,0,0,1,0,0,1,0,1,2,1
20231121,2,1,0,1,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0
20231123,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
20231126,0,0,0,0,2,0,0,2,0,2,1,1,3,2,0,0,0,0,1,1
20231128,0,0,0,1,0,2,1,1,2,1,2,1,0,2,1,0,0,0,0,0
20231130,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
20231203,1,2,1,2,0,0,0,1,1,0,0,1,0,1,0,0,0,0,2,0
20231205,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
20231207,0,1,0,1,0,0,1,0,0,0,1,2,0,1,1,2,1,1,0,1
20231210,0,1,0,0,2,1,1,0,1,0,0,0,0,1,1,2,1,1,0,2
20231212,0,0,0,0,1,0,2,1,0,3,1,0,0,0,1,0,1,0,0,0
20231214,1,0,1,1,0,0,1,2,2,0,1,1,1,0,1,1,1,1,1,1
20231217,2,2,1,0,1,0,1,2,0,0,2,2,0,0,2,1,1,1,1,1
20231219,0,0,0,2,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0
20231221,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0
20231224,2,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
20231226,0,0,1,0,1,1,0,1,2,1,0,0,1,0,1,2,0,1,0,0
20231228,0,1,2,1,0,0,2,1,0,1,1,0,0,0,2,1,1,1,2,1
20231231,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,2
20240102,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0
20240104,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,2,3,1
20240107,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
20240109,2,3,0,2,0,0,0,0,1,0,0,0,0,2,2,1,0,1,1,1
20240111,2,0,1,2,1,2,0,0,0,2,0,1,2,0,1,0,0,0,0,0
20240114,0,0,2,1,1,1,0,0,1,0,2,1,1,1,0,1,1,1,2,0
20240116,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
20240118,0,0,0,0,0,2,0,2,0,0,1,2,2,1,1,2,1,1,0,0
20240121,1,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,1,2
20240123,0,0,2,1,3,2,2,1,0,2,2,0,0,1,0,0,2,0,1,1
20240125,0,0,1,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,1,1
