Date,b1,1,2,3,4,5,6,b2,1,2,3,4,5,6,1m,2m,3m,4m,5m,6m,1m,2m,3m,4m,5m,6m
20250206,6,1,4,5,6,5,1,4,2,3,3,4,3,2,9,13,10,10,6,6,6,6,8,4,3,4
20250126,6,1,5,6,6,5,3,5,3,3,5,5,4,2,6,8,6,7,8,8,9,6,7,6,10,8
20250123,6,3,6,6,6,3,0,6,5,6,6,3,2,1,4,6,6,9,9,9,6,3,4,5,7,6
20250121,3,0,1,1,2,1,1,4,2,2,2,2,2,2,5,6,7,9,4,2,7,5,5,6,7,4
20250119,6,0,3,5,5,3,1,5,0,2,2,2,3,1,3,6,10,12,9,5,10,10,9,7,12,10
20250116,6,3,5,6,6,4,2,5,2,4,5,4,3,2,4,6,5,10,11,4,8,8,8,8,7,5
20250114,6,4,5,5,4,3,1,6,5,4,3,3,3,2,5,8,9,11,6,10,3,4,8,9,5,4
20250112,6,1,3,6,6,5,3,4,1,2,3,4,3,2,8,8,7,7,5,3,10,10,8,8,4,4
20250109,6,2,3,4,3,2,1,6,1,3,4,3,4,4,3,5,8,6,3,1,6,10,5,8,3,1
20250107,6,0,2,6,6,5,3,3,0,1,2,3,3,2,5,10,10,7,6,7,9,10,9,9,7,7
20250105,6,4,5,6,6,4,1,5,3,4,5,5,5,3,6,5,11,5,6,2,6,5,5,3,4,3
20250102,6,2,5,4,3,3,2,6,3,5,4,3,3,3,3,9,17,19,8,6,9,7,7,6,7,6
20241231,6,3,4,5,4,4,2,5,3,3,2,2,4,3,6,12,9,7,10,8,7,5,12,6,5,9
20241229,6,2,3,5,5,5,4,5,1,2,3,4,3,3,11,14,9,9,6,3,11,9,7,6,6,7
20241226,6,1,4,6,5,4,1,5,1,3,4,4,4,3,8,5,3,14,10,4,8,4,4,8,4,4
20241224,6,2,5,5,5,4,0,5,3,4,4,3,1,0,3,6,10,7,7,5,4,4,4,9,11,8
20241222,6,4,5,6,6,5,2,6,4,5,6,5,5,4,5,5,8,7,7,4,5,5,6,6,7,6
20241219,6,2,4,4,4,3,3,5,2,4,3,3,4,3,5,9,11,13,11,3,9,11,9,7,5,4
20241217,6,2,3,5,4,4,0,5,2,3,2,3,3,3,4,7,12,8,5,3,6,10,13,9,8,3
20241215,6,3,5,5,5,4,1,6,3,4,5,5,4,4,7,5,18,8,8,4,4,6,5,5,8,3
20241212,6,3,3,3,4,3,3,4,2,3,2,2,1,2,4,5,11,8,8,7,3,3,6,8,17,18
20241210,6,2,3,3,4,4,1,5,3,3,4,2,3,2,4,4,9,7,5,4,4,3,3,6,4,5
20241208,6,3,3,4,4,3,0,4,4,3,2,1,0,0,9,10,12,10,11,9,5,6,5,10,14,11
20241205,6,3,5,6,5,3,2,5,3,4,5,5,3,3,5,8,6,15,14,9,7,6,6,9,5,6
20241203,6,0,4,6,6,3,0,5,1,1,5,4,2,0,13,10,10,8,3,2,9,6,7,6,7,6
20241201,6,3,4,5,4,3,0,5,3,4,5,4,3,3,5,9,6,14,9,3,4,8,9,5,5,6
20241128,6,3,4,6,5,2,0,3,1,2,3,2,2,2,7,10,6,15,7,2,7,9,6,8,2,3
20241126,6,1,4,4,1,0,0,4,3,3,2,1,1,0,7,13,4,4,2,1,5,6,3,5,4,5
20241124,6,2,4,5,6,4,1,6,4,4,4,5,2,2,5,5,12,8,6,2,3,5,8,4,5,5
20241121,6,2,6,5,5,1,0,5,4,5,3,3,2,1,6,5,10,8,7,3,5,3,8,6,8,9
20241119,6,2,2,4,3,1,1,6,3,2,3,2,2,2,10,13,9,11,2,2,10,15,8,9,5,4
20241117,6,2,1,3,3,3,1,4,1,0,1,2,2,3,7,16,17,8,3,3,16,16,13,6,6,3
20241114,6,3,5,4,3,3,1,5,4,4,3,3,3,2,5,5,10,10,11,3,4,4,6,5,5,7
20241112,6,3,4,5,4,0,0,4,3,3,1,1,1,0,7,11,9,8,4,3,11,8,7,8,6,6
20241110,6,3,5,5,3,1,1,1,0,0,0,0,1,1,10,9,11,14,10,3,16,14,12,10,7,4
20241107,6,3,4,5,5,3,1,5,5,4,3,2,2,1,7,7,9,10,7,5,9,9,6,5,7,7
20241105,6,3,4,4,4,2,1,6,5,5,3,2,3,1,8,7,12,10,4,3,6,6,6,7,6,7
20241103,6,0,3,5,5,5,2,4,0,2,3,3,3,3,12,10,15,7,6,4,14,12,12,10,7,4
20241031,6,3,3,5,5,3,2,3,1,1,2,2,2,1,7,10,13,8,8,3,10,13,10,6,6,7
20241029,6,1,4,5,5,5,2,5,1,3,2,4,4,3,5,7,7,9,5,3,6,5,10,13,9,7
20241027,6,1,1,2,4,4,4,5,1,1,2,3,3,4,11,16,11,7,9,5,8,8,9,7,5,6
20241024,6,0,3,6,6,3,1,4,1,2,3,3,2,1,3,4,7,14,8,7,7,7,4,5,9,14
20241022,6,1,2,3,4,2,2,6,2,2,3,4,4,3,2,3,9,12,15,8,6,6,6,7,9,8
20241020,6,1,3,5,5,2,0,4,3,3,3,3,2,0,4,8,7,12,15,12,7,6,7,7,15,15
20241017,6,1,1,1,4,4,4,6,1,1,1,3,5,4,2,7,10,10,9,5,10,13,13,9,6,7
20241015,6,6,6,5,3,0,0,4,4,4,3,0,0,0,3,10,6,14,14,6,7,11,7,14,10,9
20241013,6,2,4,5,4,4,1,4,3,3,3,1,2,1,5,6,8,10,8,6,4,10,7,9,7,8
20241010,6,1,3,3,4,5,3,6,3,2,2,4,5,4,12,14,15,10,5,8,8,7,16,15,7,3
20241008,6,3,4,6,5,3,2,5,4,4,4,4,2,1,6,6,8,7,8,6,10,13,4,9,10,12
20241006,6,2,3,5,5,4,1,6,2,4,2,3,3,2,5,10,12,9,8,6,5,7,7,5,7,3
20240929,6,2,3,5,6,4,3,4,2,2,2,2,2,3,4,15,14,13,4,3,7,7,8,11,8,3
20240926,6,1,3,5,5,4,3,5,3,4,4,3,3,3,4,8,13,6,6,5,6,5,9,9,6,8
20240924,6,3,4,4,4,2,1,5,4,3,4,3,2,2,4,10,13,9,7,6,6,7,5,7,4,5
20240922,6,0,1,5,5,4,3,6,1,1,3,4,3,4,3,7,12,15,7,5,5,7,6,4,4,4
