Date,B1,B2,B3,B4,B5,B6,min1,min2,max,last
20241008,1,11,12,19,26,31,1,5,10,3
20241006,8,19,25,27,30,33,2,3,11,2
20240929,13,20,22,26,29,31,2,2,7,3
20240926,4,8,10,26,30,31,1,2,16,3
20240924,1,8,16,22,28,30,2,6,8,2
20240922,6,8,10,11,15,19,1,2,4,3
20240919,1,7,10,14,27,29,2,3,13,3
20240917,3,6,14,15,25,28,1,3,10,2
20240915,1,8,14,18,28,29,1,4,10,4
20240912,8,12,14,20,23,33,2,3,10,1
20240910,3,12,17,18,19,28,1,1,9,2
20240908,5,13,17,21,22,25,1,3,8,2
20240905,2,12,14,21,24,25,1,2,10,2
20240903,2,9,19,26,31,32,1,5,10,4
20240901,2,9,15,16,24,31,1,6,8,2
20240829,2,7,11,14,32,33,1,3,18,3
20240827,1,4,11,29,31,33,2,2,18,1
20240825,2,8,19,20,26,27,1,1,11,1
20240822,6,15,23,24,28,31,1,3,9,3
20240820,4,5,7,9,17,19,1,2,8,2
20240818,5,12,13,23,28,31,1,3,10,2
20240815,1,6,8,17,22,32,2,5,10,1
20240813,3,18,27,28,29,31,1,1,15,2
20240811,14,16,18,21,22,29,1,2,7,5
20240808,5,12,13,14,19,22,1,1,7,1
20240806,2,16,18,19,26,29,1,2,14,3
20240804,8,15,25,29,32,33,1,3,10,2
20240801,4,18,24,26,32,33,1,2,14,2
20240730,4,11,13,24,28,30,2,2,11,0
20240728,1,6,9,16,27,29,2,3,11,2
20240725,16,17,19,20,25,29,1,1,5,2
20240723,4,7,13,14,31,32,1,1,17,0
20240721,1,2,6,22,25,29,1,3,16,2
20240718,6,20,21,23,26,27,1,1,14,3
20240716,5,6,11,18,27,29,1,2,9,1
20240714,10,11,12,21,25,28,1,1,9,3
20240711,10,19,20,21,28,31,1,1,9,1
20240709,2,5,9,13,15,21,2,3,6,2
20240707,1,8,13,14,15,17,1,1,7,2
20240704,7,14,19,22,25,26,1,3,7,3
20240702,3,11,15,22,25,31,3,4,8,4
20240630,2,7,9,11,23,25,2,2,12,1
20240627,1,3,8,15,29,30,1,2,14,2
20240625,8,9,15,22,28,31,1,3,7,2
20240623,7,10,11,12,19,28,1,1,9,2
20240620,11,12,14,15,20,27,1,1,7,1
20240618,2,16,20,22,25,26,1,2,14,3
20240616,3,6,16,22,28,29,1,3,10,2
20240613,4,8,9,17,19,20,1,1,8,3
20240611,3,7,13,20,22,32,2,4,10,0
20240609,4,9,10,15,23,30,1,5,8,4
20240606,5,6,10,15,23,30,1,4,8,2
20240604,1,8,13,18,23,31,5,5,8,3
20240602,15,17,23,27,28,33,1,2,6,1
20240530,3,8,11,19,20,31,1,3,11,1
20240528,5,7,10,16,20,27,2,3,7,1
20240526,2,5,12,15,26,33,3,3,11,3
20240523,13,24,26,28,29,33,1,2,11,1
20240521,8,15,17,18,29,32,1,2,11,1
20240519,4,7,10,16,17,30,1,3,13,1
20240516,2,9,13,14,27,28,1,1,13,3
20240514,1,2,3,8,17,29,1,1,12,0
20240512,4,13,15,27,30,31,1,2,12,3
20240509,11,19,21,26,27,33,1,2,8,2
20240507,8,11,12,13,17,30,1,1,13,2
20240505,2,16,18,24,26,32,2,2,14,2
20240502,1,8,11,23,26,31,3,3,12,2
20240430,1,13,18,19,21,22,1,1,12,0
20240428,2,9,23,27,28,29,1,1,14,1
20240425,2,6,12,25,30,31,1,4,13,1
20240423,3,4,7,8,10,30,1,1,20,3
20240421,1,10,15,20,29,32,3,5,9,2
20240418,3,5,8,10,29,31,2,2,19,2
20240416,2,14,17,19,22,31,2,3,12,3
20240414,4,5,14,15,19,31,1,1,12,4
20240411,6,10,15,19,20,23,1,3,5,0
20240409,3,4,5,17,25,30,1,1,12,1
20240407,7,9,11,16,27,28,1,2,11,3
20240404,7,8,17,23,24,29,1,1,9,1
20240402,8,16,18,27,30,31,1,2,9,0
20240331,12,13,15,20,25,33,1,2,8,1
20240328,4,11,17,29,32,33,1,3,12,3
20240326,1,6,8,16,21,26,2,5,8,0
20240324,11,18,25,31,32,33,1,1,7,4
