Date,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20
20160512,7,8,5,5,6,8,8,9,10,8,6,8,7,9,6,8,6,6,7,7
20160515,6,8,7,7,6,8,8,9,6,6,8,5,6,8,5,9,6,7,5,7
20160517,8,8,6,9,9,9,6,8,8,7,8,9,8,7,8,9,8,8,9,7
20160519,8,7,2,8,9,6,9,9,8,8,10,6,8,7,10,6,5,7,6,9
20160522,6,6,10,8,7,5,7,7,9,9,10,10,9,6,9,6,8,9,10,9
20160524,7,7,7,8,10,10,7,7,9,10,7,9,10,9,6,8,9,8,10,10
20160526,8,10,9,8,9,10,8,7,9,8,9,9,9,9,10,8,8,8,10,8
20160529,7,10,10,6,7,7,7,6,7,6,9,6,5,8,7,6,8,5,9,7
20160531,10,9,8,8,10,7,8,10,10,8,6,8,7,8,8,9,7,9,8,7
20160602,5,8,9,9,6,8,8,7,8,9,9,9,6,6,9,8,7,8,6,5
20160605,9,8,4,8,6,8,6,8,6,10,7,9,8,9,6,7,7,10,8,8
20160607,4,7,5,3,6,8,4,8,6,7,8,7,8,6,5,7,9,7,8,10
20160609,8,9,9,7,5,6,5,9,9,5,8,8,5,6,6,5,8,4,5,6
20160612,6,7,8,7,7,8,8,8,9,7,9,8,8,8,9,7,8,8,6,8
20160614,8,6,6,4,5,9,6,8,4,7,8,8,8,2,6,9,6,6,8,7
20160616,4,5,7,8,5,8,4,4,5,7,8,8,5,4,6,6,7,8,5,8
20160619,6,5,10,7,6,8,9,7,9,8,8,8,6,8,7,9,8,9,8,8
20160621,8,8,8,7,8,10,7,9,8,7,8,9,6,9,6,7,8,9,8,9
20160623,5,6,10,8,7,8,7,5,9,8,9,9,8,10,9,8,8,6,9,8
20160626,9,8,4,9,8,9,10,9,7,5,7,5,7,9,8,8,5,9,7,8
20160628,10,7,9,9,6,8,7,9,6,8,10,9,7,8,7,6,9,10,8,9
20160630,6,5,6,7,8,8,4,5,6,7,8,5,8,7,7,9,7,7,6,8
20160703,8,5,4,7,6,5,5,5,5,6,6,6,5,6,7,6,3,6,5,5
20160705,8,8,8,8,7,7,8,6,8,10,6,8,9,6,10,8,9,7,8,8
20160707,8,7,9,7,8,8,9,10,9,7,6,8,8,8,7,9,7,8,7,10
20160710,9,7,8,4,4,7,6,5,7,4,7,8,6,8,8,8,10,6,5,7
20160712,9,8,4,9,8,9,5,9,10,6,7,10,10,8,7,9,9,9,7,7
20160714,7,8,8,7,6,8,8,4,7,7,4,6,7,7,9,8,6,8,5,8
20160717,4,5,9,5,8,8,7,6,5,6,9,5,8,6,7,6,10,7,6,6
20160719,9,9,10,7,7,6,7,8,6,8,10,9,8,6,5,8,8,7,6,5
20160721,10,9,7,8,8,8,9,2,7,6,9,8,7,8,8,10,8,9,9,6
20160724,10,9,8,6,8,6,8,8,8,5,9,6,6,5,9,7,7,8,9,6
20160726,8,10,8,9,9,10,9,7,10,8,9,9,10,10,8,9,10,9,10,10
20160728,8,10,9,8,7,9,7,8,7,10,6,9,8,9,6,8,8,10,9,10
20160731,8,7,9,7,6,8,9,9,6,7,6,6,9,9,5,9,7,8,6,7
20160802,8,8,4,3,5,8,6,4,7,7,7,3,4,6,3,6,8,7,6,4
20160804,7,8,5,6,6,5,7,7,8,7,8,8,8,8,7,7,10,7,7,7
20160807,7,9,7,9,7,9,8,9,6,7,7,7,8,8,10,8,4,8,7,6
20160809,10,7,8,6,8,8,6,8,8,5,10,9,10,7,9,9,8,8,7,6
20160811,10,7,9,6,10,9,9,7,7,7,10,9,8,9,10,7,9,8,8,10
20160814,9,5,8,7,6,6,7,7,6,7,8,7,6,7,8,9,8,8,7,7
20160816,7,8,8,6,7,5,8,8,7,6,8,6,6,9,8,5,4,8,8,5
20160818,8,9,10,8,9,7,7,8,7,9,8,7,8,7,6,8,8,9,8,8
20160821,8,9,9,8,8,9,9,10,5,10,9,9,4,6,10,9,8,9,8,7
20160823,6,6,7,5,7,8,4,8,8,5,6,8,8,5,6,6,10,6,9,3
20160825,5,5,6,7,7,7,6,7,4,7,6,7,9,5,7,8,4,3,4,5
20160828,7,8,8,6,6,9,9,3,9,4,6,8,8,6,7,9,9,7,6,8
20160830,7,10,6,8,8,3,7,5,7,6,3,7,5,8,6,3,4,7,4,4
20160901,8,8,9,9,10,9,3,8,9,9,10,6,9,9,9,9,8,7,7,9
20160904,7,10,9,8,6,4,7,10,8,10,7,8,8,7,9,8,6,4,7,7
20160906,7,8,5,7,7,9,7,8,9,8,6,4,6,9,6,10,7,7,7,6
20160908,6,7,8,6,7,9,5,6,8,5,8,7,6,8,9,7,8,7,9,6
20160911,7,8,8,8,9,10,7,8,9,7,5,8,8,10,8,8,9,9,8,7
20160913,5,4,5,4,4,5,3,3,4,9,6,8,6,8,4,6,3,6,6,6
20160915,8,6,8,8,9,7,8,9,8,8,9,6,7,9,6,8,8,5,6,7
20160918,7,6,9,5,8,8,7,6,9,6,5,9,5,8,4,8,8,7,8,4
20160920,4,7,8,5,7,7,6,4,8,7,9,4,5,7,7,5,2,5,6,9
20160922,9,10,10,6,6,8,9,9,8,8,8,3,6,10,6,8,8,5,10,9
20160925,7,9,9,8,7,7,9,5,9,10,10,7,9,7,10,8,10,9,10,10
20160927,6,3,7,4,7,6,6,7,6,6,5,6,6,7,5,6,6,5,6,5
20160929,8,9,9,8,8,9,9,6,7,9,10,10,8,7,8,7,7,8,8,7
20161002,7,7,7,8,8,7,8,7,8,9,5,9,5,8,7,7,5,5,8,5
20161004,6,7,5,7,5,4,4,9,6,7,7,7,6,5,5,6,5,3,7,7
20161006,5,5,8,8,6,9,8,10,7,8,5,9,4,8,7,7,5,7,8,6
20161009,5,8,9,7,8,6,4,8,7,4,9,8,8,8,8,7,7,6,6,8
20161011,8,8,8,5,7,7,5,7,7,8,5,7,9,4,5,5,6,4,5,4
20161013,9,8,7,7,8,7,8,7,9,8,10,9,9,9,5,10,8,7,8,8
20161016,9,7,8,8,7,10,7,8,8,9,9,8,7,5,6,6,8,6,6,6
20161018,8,5,8,9,7,10,9,9,9,7,7,8,9,7,7,6,7,7,7,9
20161020,9,7,7,9,8,7,7,10,9,7,9,9,9,9,10,10,8,8,8,8
20161023,8,7,5,9,6,7,8,6,4,9,6,9,8,7,8,7,8,7,5,5
20161025,5,8,6,9,3,6,5,6,3,7,7,5,8,5,6,8,6,5,7,5
20161027,7,9,7,6,8,9,7,8,7,8,9,7,9,8,10,10,10,8,4,10
20161030,8,8,8,7,7,8,8,10,10,9,8,7,8,8,8,8,9,6,9,9
20161101,10,8,9,5,9,9,7,7,8,9,6,10,6,7,8,9,8,8,9,6
20161103,9,8,6,8,6,6,6,6,4,6,4,5,5,5,8,6,5,6,6,5
20161106,10,8,8,7,7,9,6,7,9,5,7,7,8,7,10,9,8,5,9,6
20161108,9,8,10,9,6,8,6,7,9,8,7,10,8,10,6,9,7,8,7,8
20161110,8,7,6,8,7,9,8,7,5,9,6,9,9,5,9,9,8,9,9,7
20161113,2,3,5,4,5,3,6,4,4,6,7,6,4,5,4,3,4,6,5,3
20161115,10,8,7,9,10,9,8,8,9,7,8,10,7,9,10,9,8,10,9,10
20161117,8,6,4,7,7,4,7,8,7,5,7,8,7,8,6,8,5,4,8,9
