Game,Date,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21
16054,20160512,9,1,5,14,2,1,3,1,1,1,7,3,3,1,7,1,4,14,4,3,10
16055,20160515,7,6,5,11,4,2,2,2,12,4,2,3,8,4,4,2,6,6,10,5,4
16056,20160517,1,2,4,3,2,4,5,5,8,1,1,6,3,6,3,3,1,1,1,3,12
16057,20160519,2,4,18,4,5,8,4,3,2,8,6,9,2,6,2,4,7,8,12,2,8
16058,20160522,4,6,4,3,1,6,13,5,1,2,5,3,1,6,2,1,2,3,2,2,11
16059,20160524,1,2,2,4,3,1,2,6,4,2,2,1,2,2,5,5,1,2,2,2,15
16060,20160526,1,1,1,1,1,1,4,1,1,2,1,2,1,1,1,5,3,3,1,3,1
16061,20160529,2,1,3,4,6,2,6,6,6,5,2,4,8,5,4,9,3,6,2,6,1
16062,20160531,4,1,4,6,2,9,2,1,3,6,12,3,7,6,4,7,4,2,4,7,3
16063,20160602,14,3,8,3,9,3,1,9,3,6,7,4,5,7,1,2,2,2,5,14,1
16064,20160605,4,4,7,1,8,2,4,4,9,3,5,2,1,1,6,2,5,2,8,2,9
16065,20160607,6,1,14,17,11,6,16,7,7,2,1,9,4,7,10,19,3,5,5,2,14
16066,20160609,1,1,2,4,8,11,6,4,5,10,3,4,7,5,8,10,3,11,3,5,4
16067,20160612,6,2,1,6,6,3,3,1,5,4,1,2,8,3,4,10,7,1,5,4,9
16068,20160614,8,3,4,7,6,1,6,1,14,3,1,3,2,23,5,3,8,4,2,6,11
16069,20160616,13,7,9,3,12,2,11,11,7,3,5,12,9,10,3,7,4,9,5,3,4
16070,20160619,7,12,1,7,9,5,1,2,2,2,4,3,9,1,2,1,1,1,2,1,14
16071,20160621,1,3,9,8,7,2,1,1,8,14,9,2,3,3,10,9,1,2,5,2,15
16072,20160623,12,2,3,5,8,1,2,9,3,8,4,1,2,1,6,1,1,8,2,3,11
16073,20160626,13,7,11,5,8,2,4,1,12,10,4,10,7,2,1,2,6,3,1,3,3
16074,20160628,4,13,5,3,13,1,3,4,1,1,2,5,2,3,5,7,3,2,6,1,7
16075,20160630,11,7,6,5,5,2,9,3,4,4,1,9,1,8,2,2,10,3,3,8,3
16076,20160703,1,12,2,5,3,11,10,12,13,1,10,4,11,2,15,5,12,6,10,7,15
16077,20160705,2,1,1,5,7,4,1,9,3,2,1,2,2,7,1,2,1,3,2,3,4
16078,20160707,3,1,4,3,6,4,1,2,5,5,1,2,2,1,8,1,1,3,5,1,9
16079,20160710,1,1,3,4,18,5,5,10,9,7,3,5,5,1,5,1,1,8,3,2,10
16080,20160712,2,5,12,6,3,1,9,1,6,12,12,1,1,9,7,1,2,3,6,7,11
16081,20160714,4,5,2,4,11,3,1,1,1,4,16,4,3,9,2,5,5,1,7,2,2
16082,20160717,6,8,3,11,7,2,7,10,12,6,4,7,1,5,2,8,2,3,6,9,2
16083,20160719,1,1,2,1,4,13,1,6,14,3,1,5,4,11,8,2,10,1,11,13,6
16084,20160721,1,1,9,6,10,2,2,17,1,9,3,2,3,3,1,4,5,5,1,2,10
16085,20160724,3,4,6,7,3,6,2,5,3,7,2,6,11,9,7,7,7,3,2,8,12
16086,20160726,2,4,3,2,1,5,1,4,5,3,3,5,2,1,9,7,1,1,3,1,7
16087,20160728,5,1,2,3,5,4,11,2,1,2,1,3,4,4,7,1,4,2,3,1,5
16088,20160731,2,3,2,10,1,6,2,3,14,2,5,2,2,4,10,4,4,1,6,3,15
16089,20160802,3,1,12,12,15,1,3,12,6,8,1,6,16,1,14,8,4,7,7,10,4
16090,20160804,8,5,10,14,7,13,4,4,8,3,5,10,3,6,5,6,1,4,6,12,6
