Game,Date,P1,P19,P9,P15,P#,P2,P16,P#,P5,P#,P17,P10,P3,P12,P#,P8,P#,P18,P#,P13,P#,P11,P4,P#,P14,P7,P#,P6,P#,P20,P#
16054,20160512,9,4,1,7,#,1,1,#,2,#,4,1,5,3,#,1,#,14,#,3,#,7,14,#,1,3,#,1,#,3,#
16055,20160515,7,10,12,4,#,6,2,#,4,#,6,4,5,3,#,2,#,6,#,8,#,2,11,#,4,2,#,2,#,5,#
16056,20160517,1,1,8,3,#,2,3,#,2,#,1,1,4,6,#,5,#,1,#,3,#,1,3,#,6,5,#,4,#,3,#
16057,20160519,2,12,2,2,#,4,4,#,5,#,7,8,18,9,#,3,#,8,#,2,#,6,4,#,6,4,#,8,#,2,#
16058,20160522,4,2,1,2,#,6,1,#,1,#,2,2,4,3,#,5,#,3,#,1,#,5,3,#,6,13,#,6,#,2,#
16059,20160524,1,2,4,5,#,2,5,#,3,#,1,2,2,1,#,6,#,2,#,2,#,2,4,#,2,2,#,1,#,2,#
16060,20160526,1,1,1,1,#,1,5,#,1,#,3,2,1,2,#,1,#,3,#,1,#,1,1,#,1,4,#,1,#,3,#
16061,20160529,2,2,6,4,#,1,9,#,6,#,3,5,3,4,#,6,#,6,#,8,#,2,4,#,5,6,#,2,#,6,#
16062,20160531,4,4,3,4,#,1,7,#,2,#,4,6,4,3,#,1,#,2,#,7,#,12,6,#,6,2,#,9,#,7,#
16063,20160602,14,5,3,1,#,3,2,#,9,#,2,6,8,4,#,9,#,2,#,5,#,7,3,#,7,1,#,3,#,14,#
16064,20160605,4,8,9,6,#,4,2,#,8,#,5,3,7,2,#,4,#,2,#,1,#,5,1,#,1,4,#,2,#,2,#
16065,20160607,6,5,7,10,#,1,19,#,11,#,3,2,14,9,#,7,#,5,#,4,#,1,17,#,7,16,#,6,#,2,#
16066,20160609,1,3,5,8,#,1,10,#,8,#,3,10,2,4,#,4,#,11,#,7,#,3,4,#,5,6,#,11,#,5,#
16067,20160612,6,5,5,4,#,2,10,#,6,#,7,4,1,2,#,1,#,1,#,8,#,1,6,#,3,3,#,3,#,4,#
16068,20160614,8,2,14,5,#,3,3,#,6,#,8,3,4,3,#,1,#,4,#,2,#,1,7,#,23,6,#,1,#,6,#
16069,20160616,13,5,7,3,#,7,7,#,12,#,4,3,9,12,#,11,#,9,#,9,#,5,3,#,10,11,#,2,#,3,#
16070,20160619,7,2,2,2,#,12,1,#,9,#,1,2,1,3,#,2,#,1,#,9,#,4,7,#,1,1,#,5,#,1,#
16071,20160621,1,5,8,10,#,3,9,#,7,#,1,14,9,2,#,1,#,2,#,3,#,9,8,#,3,1,#,2,#,2,#
16072,20160623,12,2,3,6,#,2,1,#,8,#,1,8,3,1,#,9,#,8,#,2,#,4,5,#,1,2,#,1,#,3,#
16073,20160626,13,1,12,1,#,7,2,#,8,#,6,10,11,10,#,1,#,3,#,7,#,4,5,#,2,4,#,2,#,3,#
16074,20160628,4,6,1,5,#,13,7,#,13,#,3,1,5,5,#,4,#,2,#,2,#,2,3,#,3,3,#,1,#,1,#
16075,20160630,11,3,4,2,#,7,2,#,5,#,10,4,6,9,#,3,#,3,#,1,#,1,5,#,8,9,#,2,#,8,#
