Date,P1,P2,P3,P4,P5
20160515,0,0,0,0,0
20160517,5,3,0,0,0
20160519,0,0,0,0,0
20160522,6,5,0,0,0
20160524,4,2,0,0,0
20160526,1,2,0,0,0
20160529,4,0,0,0,0
20160531,2,0,0,0,0
20160602,0,8,0,0,0
20160605,10,1,0,0,0
20160607,1,2,0,0,0
20160609,1,0,0,0,0
20160612,4,7,0,0,0
20160614,3,0,0,0,0
20160616,0,0,0,0,0
20160619,8,5,0,0,0
20160621,2,1,0,0,0
20160623,5,2,0,0,0
20160626,2,9,0,0,0
20160628,4,1,0,0,0
20160630,5,3,0,0,0
20160703,5,3,0,0,0
20160705,3,2,0,0,0
20160707,1,4,0,0,0
20160710,1,0,0,0,0
20160712,5,3,0,0,0
20160714,2,2,0,0,0
20160717,0,1,0,0,0
20160719,1,5,0,0,0
20160721,1,1,0,0,0
20160724,0,0,0,0,0
20160726,5,3,0,0,0
20160728,1,7,0,0,0
20160731,0,2,0,0,0
20160802,1,0,0,0,0
20160804,6,0,0,0,0
20160807,1,3,0,0,0
20160809,1,10,0,0,0
20160811,2,1,0,0,0
20160814,0,4,0,0,0
20160816,1,8,0,0,0
20160818,7,2,0,0,0
20160821,3,8,0,0,0
20160823,6,2,0,0,0
20160825,0,0,0,0,0
20160828,6,0,0,0,0
20160830,2,10,0,0,0
20160901,3,8,0,0,0
20160904,1,5,0,0,0
20160906,2,8,0,0,0
20160908,6,1,0,0,0
20160911,5,3,0,0,0
20160913,0,7,0,0,0
20160915,9,5,0,0,0
20160918,0,0,0,0,0
20160920,6,0,0,0,0
20160922,1,4,0,0,0
20160925,6,1,0,0,0
20160927,2,0,0,0,0
20160929,1,6,0,0,0
20161002,6,0,0,0,0
20161004,0,0,0,0,0
20161006,8,4,0,0,0
20161009,0,0,0,0,0
20161011,1,0,0,0,0
20161013,1,8,0,0,0
20161016,5,2,0,0,0
20161018,5,5,0,0,0
20161020,2,6,0,0,0
20161023,3,0,0,0,0
20161025,0,0,0,0,0
20161027,0,0,0,0,0
20161030,8,1,0,0,0
20161101,1,2,0,0,0
20161103,2,6,0,0,0
20161106,3,0,0,0,0
20161108,2,0,0,0,0
20161110,3,3,0,0,0
20161113,0,0,0,0,0
20161115,8,0,0,0,0
20161117,5,4,0,0,0
20161120,1,5,0,0,0
20161122,5,5,0,0,0
20161124,5,6,0,0,0
20161127,3,4,0,0,0
20161129,1,6,0,0,0
20161201,3,1,0,0,0
20161204,2,0,0,0,0
20161206,8,2,0,0,0
20161208,7,2,0,0,0
20161211,10,1,0,0,0
20161213,0,0,0,0,0
20161215,2,0,0,0,0
20161218,0,0,0,0,0
20161220,0,3,0,0,0
20161222,1,0,0,0,0
20161225,9,0,0,0,0
20161227,1,1,0,0,0
20161229,1,0,0,0,0
20170101,0,4,0,0,0
20170103,4,0,0,0,0
20170105,8,6,0,0,0
20170108,0,0,0,0,0
20170110,0,0,0,0,0
20170112,3,1,0,0,0
20170115,6,0,0,0,0
20170117,4,9,0,0,0
20170119,4,4,0,0,0
20170122,3,3,0,0,0
20170124,5,1,0,0,0
20170126,5,6,0,0,0
20170205,3,5,0,0,0
20170207,0,1,0,0,0
20170209,1,3,0,0,0
20170212,5,3,0,0,0
20170214,0,5,0,0,0
20170216,3,2,0,0,0
20170219,1,1,0,0,0
20170221,9,1,0,0,0
20170223,1,0,0,0,0
20170226,0,0,0,0,0
20170228,1,0,0,0,0
20170302,1,0,0,0,0
20170305,5,6,0,0,0
20170307,5,6,0,0,0
20170309,10,10,0,0,0
20170312,1,0,0,0,0
20170314,3,6,0,0,0
20170316,0,4,0,0,0
20170319,6,1,0,0,0
20170321,9,3,0,0,0
20170323,1,3,0,0,0
20170326,2,4,0,0,0
20170328,10,10,0,0,0
20170330,0,3,0,0,0
20170402,0,1,0,0,0
20170404,0,3,0,0,0
20170406,3,3,0,0,0
20170409,7,9,0,0,0
20170411,1,1,0,0,0
20170413,8,7,0,0,0
20170416,0,0,0,0,0
20170418,0,6,0,0,0
20170420,0,0,0,0,0
20170423,6,5,0,0,0
20170425,5,1,0,0,0
20170427,1,1,0,0,0
20170430,1,5,0,0,0
20170502,2,7,0,0,0
20170504,2,1,0,0,0
20170507,1,1,0,0,0
20170509,1,2,0,0,0
20170511,4,2,0,0,0
20170514,6,0,0,0,0
20170516,0,1,0,0,0
20170518,0,0,0,0,0
20170521,5,1,0,0,0
20170523,3,3,0,0,0
20170525,0,1,0,0,0
20170528,5,2,0,0,0
20170530,0,0,0,0,0
20170601,0,2,0,0,0
20170604,3,0,0,0,0
20170606,2,1,0,0,0
20170608,5,1,0,0,0
20170611,2,1,0,0,0
20170613,4,0,0,0,0
20170615,1,0,0,0,0
20170618,6,0,0,0,0
20170620,1,0,0,0,0
20170622,5,1,0,0,0
20170625,3,2,0,0,0
20170627,1,0,0,0,0
20170629,7,2,0,0,0
20170702,1,1,0,0,0
20170704,4,6,0,0,0
20170706,1,2,0,0,0
20170709,5,5,0,0,0
20170711,0,2,0,0,0
20170713,1,2,0,0,0
20170716,0,3,0,0,0
20170718,3,1,0,0,0
20170720,2,3,0,0,0
20170723,2,6,0,0,0
20170725,3,1,0,0,0
20170727,3,4,0,0,0
20170730,2,9,0,0,0
20170801,0,0,0,0,0
20170803,0,0,0,0,0
20170806,3,9,0,0,0
20170808,3,1,0,0,0
20170810,6,4,0,0,0
20170813,2,5,0,0,0
20170815,1,5,0,0,0
20170817,0,2,0,0,0
20170820,4,4,0,0,0
20170822,2,2,0,0,0
20170824,1,1,0,0,0
20170827,3,0,0,0,0
20170829,0,0,0,0,0
20170831,10,3,0,0,0
20170903,6,0,0,0,0
20170905,0,1,0,0,0
20170907,5,1,0,0,0
20170910,0,1,0,0,0
20170912,0,2,0,0,0
20170914,4,2,0,0,0
20170917,3,5,0,0,0
20170919,1,2,0,0,0
20170921,0,3,0,0,0
20170924,3,0,0,0,0
20170926,1,1,0,0,0
20170928,0,4,0,0,0
20171001,2,3,0,0,0
20171003,5,5,0,0,0
20171005,5,5,0,0,0
20171008,1,6,0,0,0
20171010,2,1,0,0,0
20171012,1,10,0,0,0
20171015,0,0,0,0,0
20171017,10,1,0,0,0
20171019,3,1,0,0,0
20171022,4,1,0,0,0
20171024,2,3,0,0,0
20171026,2,0,0,0,0
20171029,4,0,0,0,0
20171031,0,0,0,0,0
20171102,3,8,0,0,0
20171105,2,0,0,0,0
20171107,2,10,0,0,0
20171109,0,3,0,0,0
20171112,0,10,0,0,0
20171114,2,3,0,0,0
20171116,0,0,0,0,0
20171119,5,2,0,0,0
20171121,10,1,0,0,0
20171123,8,0,0,0,0
20171126,2,0,0,0,0
20171128,0,1,0,0,0
20171130,4,6,0,0,0
20171203,6,3,0,0,0
20171205,2,4,0,0,0
20171207,7,2,0,0,0
20171210,3,9,0,0,0
20171212,2,0,0,0,0
20171214,2,1,0,0,0
20171217,4,5,0,0,0
20171219,1,5,0,0,0
20171221,4,8,0,0,0
20171224,2,1,0,0,0
20171226,7,5,0,0,0
20171228,8,2,0,0,0
20171231,6,7,0,0,0
20180102,2,6,0,0,0
20180104,1,4,0,0,0
