Game,Date,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50
16054,20160512,7,8,5,5,6,8,8,9,10,8,6,8,7,9,6,8,6,6,7,7,7,7,6,9,8,7,4,6,5,7,8,4,8,6,5,8,7,9,8,8,4,6,7,8,9,6,5,9,8,6
16055,20160515,6,8,7,7,6,8,8,9,6,6,8,5,6,8,5,9,6,7,5,7,6,6,7,6,6,8,6,6,6,7,8,8,7,5,6,5,5,9,8,9,7,6,6,6,7,7,8,6,7,6
16056,20160517,8,8,6,9,9,9,6,8,8,7,8,9,8,7,8,9,8,8,9,7,7,8,9,7,8,8,8,9,7,7,7,8,8,8,6,8,9,8,8,7,7,5,6,9,9,8,9,6,8,9
16057,20160519,8,7,2,8,9,6,9,9,8,8,10,6,8,7,10,6,5,7,6,9,8,7,7,6,7,6,6,7,5,10,4,6,7,10,7,7,4,8,8,9,9,4,7,4,6,7,8,8,10,9
16058,20160522,6,6,10,8,7,5,7,7,9,9,10,10,9,6,9,6,8,9,10,9,9,6,5,7,9,7,5,7,6,7,8,8,8,5,9,10,8,7,9,7,6,8,7,10,6,10,7,7,7,5
16059,20160524,7,7,7,8,10,10,7,7,9,10,7,9,10,9,6,8,9,8,10,10,9,8,8,8,8,8,6,6,8,5,7,9,10,8,8,8,8,10,9,8,8,8,7,7,8,6,5,6,7,8
16060,20160526,8,10,9,8,9,10,8,7,9,8,9,9,9,9,10,8,8,8,10,8,8,9,10,10,10,8,9,7,10,9,9,10,9,7,8,9,9,7,8,9,10,9,9,8,8,9,8,8,5,9
16061,20160529,7,10,10,6,7,7,7,6,7,6,9,6,5,8,7,6,8,5,9,7,8,8,6,8,6,5,6,6,6,5,8,7,6,6,9,7,6,6,8,9,7,8,9,8,7,9,7,6,7,6
16062,20160531,10,9,8,8,10,7,8,10,10,8,6,8,7,8,8,9,7,9,8,7,9,9,8,9,9,9,8,10,10,6,10,9,9,9,7,7,10,10,8,10,9,9,8,10,9,9,10,10,9,8
16063,20160602,5,8,9,9,6,8,8,7,8,9,9,9,6,6,9,8,7,8,6,5,8,5,8,9,6,7,8,6,8,9,9,6,8,7,7,8,6,7,6,9,8,4,8,8,8,7,9,8,9,7
16064,20160605,9,8,4,8,6,8,6,8,6,10,7,9,8,9,6,7,7,10,8,8,9,9,10,8,9,5,7,8,8,7,10,10,7,10,7,8,7,8,7,8,9,6,9,10,8,9,6,6,5,9
16065,20160607,4,7,5,3,6,8,4,8,6,7,8,7,8,6,5,7,9,7,8,10,7,6,9,5,7,5,7,8,8,8,6,6,5,4,7,9,10,8,9,8,8,7,7,10,5,8,10,10,9,8
16066,20160609,8,9,9,7,5,6,5,9,9,5,8,8,5,6,6,5,8,4,5,6,6,7,7,6,8,7,8,6,6,5,8,7,8,8,6,8,10,8,8,6,7,8,8,9,6,6,5,8,7,7
16067,20160612,6,7,8,7,7,8,8,8,9,7,9,8,8,8,9,7,8,8,6,8,9,9,9,6,8,9,9,8,9,8,9,6,6,7,9,7,6,8,10,5,7,5,10,6,9,5,7,6,6,9
16068,20160614,8,6,6,4,5,9,6,8,4,7,8,8,8,2,6,9,6,6,8,7,5,7,6,9,5,7,8,9,7,7,9,9,6,9,6,6,8,7,7,8,5,8,8,7,7,6,6,3,6,4
16069,20160616,4,5,7,8,5,8,4,4,5,7,8,8,5,4,6,6,7,8,5,8,6,6,7,7,7,6,5,5,6,4,9,5,5,4,3,5,8,7,6,8,6,5,7,8,5,6,6,7,8,6
16070,20160619,6,5,10,7,6,8,9,7,9,8,8,8,6,8,7,9,8,9,8,8,9,8,9,8,6,9,10,10,9,6,9,9,8,6,8,5,8,7,6,8,8,9,7,7,10,7,7,7,10,5
16071,20160621,8,8,8,7,8,10,7,9,8,7,8,9,6,9,6,7,8,9,8,9,8,8,10,10,8,10,8,8,9,10,9,8,8,8,8,7,8,9,8,7,8,8,10,6,7,8,6,9,8,6
16072,20160623,5,6,10,8,7,8,7,5,9,8,9,9,8,10,9,8,8,6,9,8,7,9,8,9,5,7,7,6,8,5,4,9,6,5,9,9,9,8,8,8,6,7,9,10,7,7,8,5,9,7
16073,20160626,9,8,4,9,8,9,10,9,7,5,7,5,7,9,8,8,5,9,7,8,8,8,9,6,7,6,9,8,6,9,9,8,5,4,8,7,8,10,5,10,7,9,7,8,7,7,6,9,9,7
16074,20160628,10,7,9,9,6,8,7,9,6,8,10,9,7,8,7,6,9,10,8,9,9,7,6,10,7,7,10,9,8,8,9,6,5,7,9,5,5,10,4,10,9,8,4,8,8,6,9,7,8,6
16075,20160630,6,5,6,7,8,8,4,5,6,7,8,5,8,7,7,9,7,7,6,8,7,6,6,9,9,8,6,5,9,6,8,7,8,10,8,10,6,7,5,7,7,8,7,7,7,8,5,9,5,9
16076,20160703,8,5,4,7,6,5,5,5,5,6,6,6,5,6,7,6,3,6,5,5,7,8,6,6,5,5,7,7,5,7,7,7,7,5,5,7,6,8,8,4,4,4,8,6,7,6,5,7,7,4
16077,20160705,8,8,8,8,7,7,8,6,8,10,6,8,9,6,10,8,9,7,8,8,8,7,7,10,7,10,9,9,9,7,10,8,6,7,8,9,9,8,7,6,7,7,7,8,6,7,8,8,9,6
16078,20160707,8,7,9,7,8,8,9,10,9,7,6,8,8,8,7,9,7,8,7,10,4,9,9,6,9,5,8,9,9,9,7,8,8,8,6,6,9,8,9,9,6,8,9,8,8,5,9,7,8,6
16079,20160710,9,7,8,4,4,7,6,5,7,4,7,8,6,8,8,8,10,6,5,7,8,9,7,3,9,6,6,6,9,6,5,9,5,8,9,8,6,9,7,6,6,8,9,6,7,6,7,6,6,8
16080,20160712,9,8,4,9,8,9,5,9,10,6,7,10,10,8,7,9,9,9,7,7,10,7,9,8,10,7,10,9,9,5,7,8,10,7,8,9,7,9,9,9,10,7,8,9,8,9,9,10,8,6
16081,20160714,7,8,8,7,6,8,8,4,7,7,4,6,7,7,9,8,6,8,5,8,7,7,8,7,7,8,7,9,7,9,6,7,8,5,9,6,7,6,6,7,9,6,7,9,8,3,8,7,8,6
16082,20160717,4,5,9,5,8,8,7,6,5,6,9,5,8,6,7,6,10,7,6,6,6,6,7,8,7,6,10,9,8,9,7,9,7,9,6,9,10,8,7,10,10,8,7,9,5,9,4,10,8,6
16083,20160719,9,9,10,7,7,6,7,8,6,8,10,9,8,6,5,8,8,7,6,5,6,8,6,9,8,6,7,8,8,5,7,7,7,8,7,6,6,6,5,6,5,5,10,9,7,9,9,8,9,9
16084,20160721,10,9,7,8,8,8,9,2,7,6,9,8,7,8,8,10,8,9,9,6,8,9,6,7,6,4,6,7,8,8,6,7,7,9,9,9,9,5,8,6,7,8,8,6,5,6,6,7,9,7
16085,20160724,10,9,8,6,8,6,8,8,8,5,9,6,6,5,9,7,7,8,9,6,9,5,8,8,7,7,8,6,7,6,9,7,8,6,7,7,7,10,8,8,7,9,5,7,9,7,7,8,7,6
16086,20160726,8,10,8,9,9,10,9,7,10,8,9,9,10,10,8,9,10,9,10,10,10,9,10,9,8,10,8,7,9,10,8,8,8,9,8,9,9,8,9,9,8,9,8,9,10,8,9,9,10,8
16087,20160728,8,10,9,8,7,9,7,8,7,10,6,9,8,9,6,8,8,10,9,10,7,9,8,6,8,8,8,10,9,9,10,8,9,9,9,9,10,9,9,8,7,9,10,6,9,7,9,7,9,8
16088,20160731,8,7,9,7,6,8,9,9,6,7,6,6,9,9,5,9,7,8,6,7,7,7,7,7,8,6,7,9,8,9,9,7,8,5,9,7,8,7,10,7,9,8,9,8,7,8,9,8,6,8
16089,20160802,8,8,4,3,5,8,6,4,7,7,7,3,4,6,3,6,8,7,6,4,6,5,6,7,8,4,7,4,7,6,4,3,7,2,5,3,5,5,8,5,8,7,7,6,8,8,5,6,6,5
16090,20160804,7,8,5,6,6,5,7,7,8,7,8,8,8,8,7,7,10,7,7,7,9,7,7,7,7,8,6,6,8,8,6,7,8,5,5,6,7,9,9,7,7,8,5,8,6,6,6,6,8,8
16091,20160807,7,9,7,9,7,9,8,9,6,7,7,7,8,8,10,8,4,8,7,6,7,7,9,8,7,9,6,6,7,5,8,7,9,10,5,9,9,6,8,8,7,7,6,8,7,8,8,8,8,8
16092,20160809,10,7,8,6,8,8,6,8,8,5,10,9,10,7,9,9,8,8,7,6,9,8,10,9,8,8,9,9,8,8,9,9,8,8,8,9,8,8,9,10,7,9,6,6,8,10,7,9,10,8
16093,20160811,10,7,9,6,10,9,9,7,7,7,10,9,8,9,10,7,9,8,8,10,7,9,9,7,9,8,7,6,7,9,7,8,10,7,7,7,5,10,6,7,8,7,8,6,6,7,6,8,9,8
16094,20160814,9,5,8,7,6,6,7,7,6,7,8,7,6,7,8,9,8,8,7,7,6,2,5,7,7,7,6,6,4,7,8,8,8,4,6,8,5,8,6,6,5,6,7,7,5,8,7,8,5,8
16095,20160816,7,8,8,6,7,5,8,8,7,6,8,6,6,9,8,5,4,8,8,5,6,7,6,7,7,5,8,6,7,8,7,6,8,9,7,8,4,7,9,5,9,6,4,8,7,8,7,5,4,7
16096,20160818,8,9,10,8,9,7,7,8,7,9,8,7,8,7,6,8,8,9,8,8,7,8,9,8,6,10,10,7,8,8,8,8,9,9,9,8,7,8,7,10,10,9,9,6,8,9,7,7,7,9
16097,20160821,8,9,9,8,8,9,9,10,5,10,9,9,4,6,10,9,8,9,8,7,7,10,8,9,10,7,8,7,8,6,7,8,9,8,9,7,8,8,9,8,9,7,9,10,7,9,8,10,8,10
16098,20160823,6,6,7,5,7,8,4,8,8,5,6,8,8,5,6,6,10,6,9,3,7,9,7,9,6,7,5,6,7,9,8,7,6,8,6,7,8,4,6,8,6,7,5,6,8,5,7,3,5,7
16099,20160825,5,5,6,7,7,7,6,7,4,7,6,7,9,5,7,8,4,3,4,5,7,7,9,9,7,5,5,8,7,7,6,4,8,6,6,6,6,5,9,8,5,7,5,3,6,5,6,8,7,8
16100,20160828,7,8,8,6,6,9,9,3,9,4,6,8,8,6,7,9,9,7,6,8,6,6,7,9,8,9,9,9,7,6,9,7,9,7,6,8,9,6,8,9,8,10,8,10,4,7,6,9,6,6
16101,20160830,7,10,6,8,8,3,7,5,7,6,3,7,5,8,6,3,4,7,4,4,8,6,4,3,8,8,4,7,7,8,5,8,4,6,9,5,5,6,8,7,4,1,4,6,9,8,5,6,4,6
16102,20160901,8,8,9,9,10,9,3,8,9,9,10,6,9,9,9,9,8,7,7,9,9,8,9,8,8,9,9,8,7,7,8,10,9,8,7,9,6,10,8,9,9,6,10,7,6,9,10,7,10,6
16103,20160904,7,10,9,8,6,4,7,10,8,10,7,8,8,7,9,8,6,4,7,7,6,7,9,9,8,6,7,9,5,8,7,7,7,5,8,7,6,7,8,5,9,8,8,6,7,8,5,7,6,8
16104,20160906,7,8,5,7,7,9,7,8,9,8,6,4,6,9,6,10,7,7,7,6,9,8,8,6,7,8,8,10,8,9,8,8,9,8,8,8,8,7,6,7,6,8,6,6,6,7,8,9,6,7
16105,20160908,6,7,8,6,7,9,5,6,8,5,8,7,6,8,9,7,8,7,9,6,9,8,8,7,7,6,5,5,7,7,7,5,9,6,8,8,9,8,9,7,7,8,6,9,7,8,7,5,6,8
16106,20160911,7,8,8,8,9,10,7,8,9,7,5,8,8,10,8,8,9,9,8,7,9,7,9,6,9,9,7,10,8,7,9,9,9,10,6,5,8,7,7,8,9,8,8,6,10,9,7,9,5,10
16107,20160913,5,4,5,4,4,5,3,3,4,9,6,8,6,8,4,6,3,6,6,6,7,4,6,7,5,4,5,6,7,4,3,4,4,5,8,5,7,5,4,6,5,5,6,6,4,6,5,7,7,5
16108,20160915,8,6,8,8,9,7,8,9,8,8,9,6,7,9,6,8,8,5,6,7,6,9,10,8,7,8,5,4,8,8,10,8,10,9,6,8,8,4,8,4,7,5,5,6,5,7,6,8,5,6
16109,20160918,7,6,9,5,8,8,7,6,9,6,5,9,5,8,4,8,8,7,8,4,8,8,8,8,6,7,5,8,6,7,8,10,9,8,5,7,6,9,8,6,9,6,8,8,5,8,8,6,10,8
16110,20160920,4,7,8,5,7,7,6,4,8,7,9,4,5,7,7,5,2,5,6,9,4,7,5,7,6,4,6,6,7,6,4,5,10,8,8,6,5,8,6,8,6,7,6,7,8,8,6,8,7,7
16111,20160922,9,10,10,6,6,8,9,9,8,8,8,3,6,10,6,8,8,5,10,9,6,7,7,7,9,4,6,7,7,10,7,6,8,5,9,9,8,8,7,8,8,6,9,8,6,6,4,8,7,8
16112,20160925,7,9,9,8,7,7,9,5,9,10,10,7,9,7,10,8,10,9,10,10,10,7,9,9,7,9,8,8,9,7,9,9,6,7,6,8,10,10,9,9,10,8,8,10,10,8,8,8,8,8
16113,20160927,6,3,7,4,7,6,6,7,6,6,5,6,6,7,5,6,6,5,6,5,5,6,6,6,4,8,4,6,6,5,6,8,7,4,9,6,6,7,5,5,7,6,8,9,7,4,6,6,5,7
16114,20160929,8,9,9,8,8,9,9,6,7,9,10,10,8,7,8,7,7,8,8,7,6,9,9,9,9,7,6,7,4,10,8,7,5,7,7,7,8,6,6,5,5,9,8,6,8,10,6,7,8,5
16115,20161002,7,7,7,8,8,7,8,7,8,9,5,9,5,8,7,7,5,5,8,5,7,6,5,7,6,7,7,5,7,5,7,7,6,7,9,6,6,7,7,7,6,9,7,8,7,8,7,4,7,6
16116,20161004,6,7,5,7,5,4,4,9,6,7,7,7,6,5,5,6,5,3,7,7,7,3,9,7,7,5,5,5,7,6,6,7,5,3,7,8,5,6,7,4,8,3,6,7,7,5,6,6,7,4
16117,20161006,5,5,8,8,6,9,8,10,7,8,5,9,4,8,7,7,5,7,8,6,6,8,9,7,5,9,8,8,7,7,7,6,7,9,10,7,7,8,6,7,5,8,7,8,8,8,7,7,7,10
16118,20161009,5,8,9,7,8,6,4,8,7,4,9,8,8,8,8,7,7,6,6,8,7,7,6,6,8,7,8,7,8,7,8,6,5,6,5,6,9,8,5,5,8,8,6,7,6,8,8,9,7,7
16119,20161011,8,8,8,5,7,7,5,7,7,8,5,7,9,4,5,5,6,4,5,4,4,8,7,6,7,3,5,6,6,6,5,6,5,7,7,6,5,6,7,3,5,3,5,7,3,6,4,5,2,3
16120,20161013,9,8,7,7,8,7,8,7,9,8,10,9,9,9,5,10,8,7,8,8,8,8,7,8,7,8,7,9,7,10,9,7,9,6,6,9,10,7,8,9,9,9,6,7,5,7,7,9,9,9
16121,20161016,9,7,8,8,7,10,7,8,8,9,9,8,7,5,6,6,8,6,6,6,5,4,6,7,10,8,6,7,6,7,1,6,7,9,7,5,7,9,6,9,9,7,4,6,8,7,7,6,5,8
16122,20161018,8,5,8,9,7,10,9,9,9,7,7,8,9,7,7,6,7,7,7,9,7,6,7,7,6,8,5,10,7,5,9,8,7,7,9,10,6,7,8,7,10,8,9,6,6,7,8,7,7,5
16123,20161020,9,7,7,9,8,7,7,10,9,7,9,9,9,9,10,10,8,8,8,8,8,9,9,8,9,8,9,6,10,7,8,10,7,8,9,9,9,7,9,9,8,9,8,10,9,9,7,9,8,9
