Date,p1,p2,p3,p4,p5,inter,o1_edge,o1_middle,sta
20241110,(4/17),(4/17),(4/18),(4/16),(4/17),(4/15),(3/26),(2/13),(1/11)
20241107,(2/12),(2/12),(2/14),(2/13),(2/14),(2/11),(5/23),(2/16),(4/11)
20241105,(3/17),(3/19),(3/19),(3/20),(3/20),(3/17),(4/25),(0/12),(2/12)
20241103,(4/15),(4/17),(4/16),(4/15),(4/15),(4/14),(4/23),(3/11),(0/10)
20241031,(2/19),(2/17),(2/20),(2/20),(2/20),(2/17),(6/26),(1/14),(2/11)
20241029,(2/17),(3/18),(2/17),(3/18),(2/17),(2/17),(2/23),(3/10),(2/11)
20241027,(4/15),(4/16),(4/16),(4/15),(3/14),(3/12),(4/25),(3/14),(4/12)
20241024,(3/18),(2/13),(2/15),(2/15),(3/14),(2/10),(4/25),(2/12),(1/11)
20241022,(3/16),(3/14),(1/14),(2/17),(2/15),(1/11),(4/21),(2/12),(2/11)
20241020,(2/17),(2/16),(2/17),(1/15),(1/16),(1/13),(5/25),(1/10),(2/11)
20241017,(3/19),(3/17),(2/17),(3/18),(3/19),(2/14),(4/27),(3/14),(2/11)
20241015,(3/19),(2/19),(3/19),(2/18),(3/20),(1/15),(5/23),(1/10),(3/11)
20241013,(1/17),(1/16),(1/18),(1/15),(2/19),(1/13),(4/22),(1/10),(3/10)
20241010,(2/18),(3/19),(3/16),(3/17),(3/17),(2/14),(3/27),(1/12),(2/11)
20241008,(4/18),(3/17),(3/20),(3/19),(3/19),(2/14),(5/28),(4/15),(2/12)
20241006,(2/17),(5/20),(5/20),(5/21),(4/19),(2/16),(4/24),(3/12),(2/10)
20240929,(3/20),(3/21),(2/20),(3/19),(3/20),(2/14),(4/25),(2/13),(3/10)
20240926,(3/18),(2/18),(3/17),(3/18),(3/17),(1/10),(4/24),(3/14),(3/11)
20240924,(2/17),(3/18),(3/17),(2/18),(2/17),(2/12),(5/23),(1/10),(2/11)
20240922,(3/18),(2/16),(3/18),(3/17),(3/17),(2/14),(4/27),(2/11),(3/11)
20240919,(3/16),(3/16),(3/17),(3/15),(2/17),(2/13),(4/22),(1/13),(3/10)
20240917,(3/20),(3/21),(2/19),(3/20),(3/20),(2/16),(3/25),(2/13),(2/10)
20240915,(5/21),(5/16),(4/16),(5/16),(5/15),(4/12),(6/23),(2/12),(4/11)
20240912,(2/18),(3/18),(3/18),(3/16),(3/21),(2/12),(4/24),(1/10),(1/11)
20240910,(2/20),(3/19),(2/18),(1/20),(2/20),(1/14),(3/24),(4/13),(2/11)
20240908,(5/19),(5/18),(5/18),(5/18),(5/19),(5/16),(4/22),(4/11),(2/11)
20240905,(3/22),(2/20),(2/20),(2/20),(2/20),(2/17),(2/23),(3/15),(2/9)
20240903,(5/18),(5/18),(5/17),(5/17),(4/16),(4/14),(3/25),(2/14),(4/11)
20240901,(5/22),(4/19),(4/19),(4/19),(4/20),(4/17),(5/25),(2/11),(2/10)
20240829,(5/18),(4/19),(5/19),(4/18),(5/18),(4/13),(3/24),(2/14),(3/12)
20240827,(4/18),(5/20),(5/19),(4/16),(4/17),(4/14),(4/23),(2/11),(1/12)
20240825,(2/21),(0/21),(1/18),(1/19),(1/19),(0/16),(6/29),(3/14),(1/12)
20240822,(4/19),(4/22),(3/20),(3/21),(3/18),(3/16),(5/23),(2/15),(3/11)
20240820,(4/20),(4/20),(4/18),(4/19),(4/18),(4/16),(5/26),(2/12),(1/11)
20240818,(3/16),(3/16),(3/16),(3/16),(3/17),(2/14),(6/25),(3/14),(3/11)
20240815,(4/20),(4/18),(3/18),(5/19),(4/18),(3/11),(5/23),(1/8),(1/10)
20240813,(3/20),(3/22),(2/19),(3/21),(3/20),(2/14),(4/23),(1/11),(2/10)
20240811,(5/21),(5/21),(4/19),(3/19),(4/20),(3/15),(2/24),(1/8),(5/11)
20240808,(6/20),(6/22),(5/21),(6/22),(5/21),(5/14),(5/26),(3/14),(1/10)
20240806,(3/18),(3/19),(4/18),(4/19),(4/18),(3/15),(2/22),(1/10),(4/10)
