date,Red1,Red2,Red3,Red4,Red5,Red6,h1,h2,RedSum16,RedGap16,RedSum25,RedGap25,RedSum34,RedGap12,RedGap23,RedGap34,RedGap45,RedGap56,RedSum_,RedBlue,total,half1,half2
20250206,0,0,2,0,7,1,2,8,3,0,0,0,0,0,0,7,2,3,1,0,10,5,21
20250126,5,2,8,1,2,3,8,13,2,6,1,9,3,3,4,8,7,6,3,0,1,32,41
20250123,7,3,0,0,0,0,5,5,0,0,0,2,0,8,2,2,8,6,0,4,9,19,19
20250121,0,0,4,1,2,0,0,7,0,1,0,1,0,0,1,5,0,3,0,4,10,1,17
20250119,0,0,1,1,3,0,1,4,0,0,2,1,6,3,2,0,0,0,0,1,9,5,14
20250116,1,7,3,9,0,1,9,12,3,2,5,6,5,2,1,3,4,6,5,0,2,22,41
20250114,6,5,5,6,2,0,8,16,0,0,5,6,7,7,1,3,6,8,0,2,4,28,39
20250112,0,1,0,3,8,9,7,14,0,0,0,3,0,1,4,7,0,2,0,3,8,11,27
20250109,2,4,9,6,2,0,8,15,7,6,2,3,2,6,0,0,5,6,5,3,3,26,39
20250107,2,0,0,6,5,0,6,7,2,0,0,2,3,0,7,4,2,0,5,1,7,19,19
20250105,0,3,8,0,6,1,8,10,7,0,2,2,2,7,6,5,0,3,0,3,5,25,27
20250102,1,1,2,1,1,0,3,3,6,1,0,5,8,0,0,1,5,0,2,0,6,15,19
20241231,2,8,6,6,0,6,11,17,0,2,8,2,3,2,6,4,1,6,2,2,2,26,38
20241229,0,0,0,4,2,5,6,5,0,8,5,5,0,1,3,4,7,0,5,8,6,18,31
20241226,9,7,2,3,0,8,13,16,2,0,0,0,6,7,5,4,1,3,3,0,5,27,33
20241224,0,0,9,6,6,2,11,12,2,0,0,2,8,0,1,0,6,4,0,3,7,20,26
20241222,1,4,9,4,5,2,11,14,0,6,9,4,0,5,0,1,8,0,5,8,4,28,35
20241219,9,6,0,8,0,0,9,14,5,0,6,0,8,6,1,0,6,4,8,3,6,25,42
20241217,0,0,4,0,5,5,8,6,2,4,0,0,5,0,0,5,0,2,6,3,8,17,21
20241215,7,4,1,0,5,5,9,13,0,4,0,7,0,5,0,1,2,0,0,2,7,15,26
20241212,0,5,0,6,3,9,9,14,4,2,2,0,1,2,7,0,0,8,2,2,5,20,31
20241210,3,3,2,5,0,0,5,8,1,0,4,4,3,5,3,5,6,9,5,5,3,22,36
20241208,0,0,5,0,4,0,5,4,6,6,5,0,0,2,2,4,0,3,0,3,8,12,25
20241205,2,5,0,0,0,0,1,6,5,2,0,2,0,3,0,5,6,5,0,3,8,12,23
20241203,0,0,0,0,7,10,7,10,0,0,0,4,0,4,8,4,2,4,0,6,9,15,28
20241201,5,3,9,0,0,6,6,17,1,1,5,0,0,4,1,0,10,2,9,4,5,18,38
20241128,8,6,0,8,3,6,12,19,8,0,7,2,2,8,0,4,0,2,1,0,5,23,42
20241126,4,5,3,1,2,4,5,14,10,0,5,8,0,0,4,2,1,6,5,3,3,21,39
20241124,3,1,0,5,6,8,10,13,6,0,6,2,4,6,9,5,0,0,3,1,4,24,40
20241121,5,0,6,6,5,0,9,13,0,4,4,7,4,3,0,3,1,1,3,0,5,19,33
20241119,4,1,2,4,0,3,8,6,5,3,0,0,2,0,4,0,3,2,7,2,5,20,20
20241117,2,0,0,0,3,3,1,7,6,0,4,1,0,5,0,0,0,2,0,5,9,11,15
20241114,4,1,2,1,3,0,3,8,5,4,0,7,0,5,8,2,9,0,1,0,5,20,32
20241112,4,7,9,7,0,3,12,18,5,0,2,1,5,1,7,7,1,6,0,0,4,28,37
20241110,0,0,5,3,2,0,2,8,0,1,0,8,2,5,9,6,9,2,0,4,6,20,32
20241107,2,7,5,4,2,4,10,14,2,3,3,3,6,0,8,4,2,4,4,0,2,22,41
20241105,8,6,3,2,3,4,11,15,0,0,3,0,0,0,0,3,1,6,2,4,6,18,23
20241103,0,0,0,0,6,0,2,4,0,1,0,5,0,9,2,0,2,0,0,6,11,11,14
