date,Red1a,Red1b,Red2a,Red2d,Red3a,Red3b,Red4a,Red4b,Red5a,Red5b,Red6a,Red6b,RedSum16a,RedSum16b,RedGap16a,RedGap16b,RedSum25a,RedSum25b,RedGap25a,RedGap25b,RedSum34a,RedSum34b,RedGap12a,RedGap12b,RedGap23a,RedGap23b,RedGap34a,RedGap34b,RedGap45a,RedGap45b,RedGap56a,RedGap56b,RedSum_a,RedSum_b,RedBluea,RedBlueb
20250225,0/1, 0/2,1/5, 1/1,1/6, 1/5,0/1, 0/5,0/2, 1/8,1/7, 0/6,0/3, 1/12,0/4, 1/10,1/5, 1/3,1/5, 0/4,1/5, 1/5,1/5, 0/6,1/1, 1/6,0/6, 0/6,0/2, 0/3,1/5, 1/8,0/1, 1/31,0/4, 1/14
20250223,1/3, 1/2,0/3, 0/2,0/6, 1/8,0/1, 1/6,0/3, 1/9,0/1, 0/8,0/2, 0/7,0/6, 0/0,1/3, 1/10,0/5, 0/1,1/8, 1/13,0/1, 1/4,0/11, 1/2,0/4, 1/9,0/2, 1/9,1/3, 1/4,0/1, 1/26,1/6, 1/0
20250220,1/2, 0/11,1/5, 1/10,0/2, 0/2,0/2, 1/4,0/7, 1/7,1/2, 1/7,0/2, 1/7,0/2, 1/5,1/8, 1/16,0/3, 0/2,0/6, 0/6,1/3, 1/10,0/2, 0/1,1/1, 1/4,0/8, 1/4,0/4, 1/5,0/2, 1/20,0/5, 0/0
20250218,1/6, 1/1,1/13, 0/1,0/3, 1/4,0/4, 1/8,0/10, 1/3,1/1, 1/2,1/2, 1/18,1/8, 1/6,1/16, 1/9,0/1, 1/4,0/4, 1/14,0/3, 1/10,0/6, 1/9,0/3, 1/8,0/2, 0/1,1/5, 1/6,0/27, 1/25,1/7, 1/13
20250216,0/1, 0/4,0/4, 0/2,1/3, 1/2,0/3, 1/15,0/4, 0/4,0/5, 1/4,1/3, 0/4,1/6, 1/7,0/2, 0/7,0/4, 1/8,0/7, 1/17,0/4, 1/5,0/1, 1/6,0/5, 1/5,1/8, 1/3,1/9, 1/0,0/5, 0/32,1/7, 1/5
20250213,1/3, 1/3,0/4, 1/10,0/2, 1/10,1/5, 1/9,0/2, 1/11,0/3, 0/2,0/2, 1/12,1/3, 1/4,1/5, 1/4,1/2, 1/1,1/10, 1/17,0/6, 1/7,1/6, 1/6,0/1, 0/7,0/5, 0/1,0/1, 0/4,1/23, 1/1,1/11, 1/3
20250211,1/2, 1/6,0/6, 0/1,0/1, 1/14,0/2, 1/12,0/2, 0/0,0/1, 0/3,1/3, 0/3,0/2, 1/6,0/4, 1/13,1/6, 1/9,0/3, 0/19,0/4, 1/8,1/4, 1/1,0/3, 1/9,1/6, 1/2,1/2, 1/3,0/1, 0/10,1/6, 1/7
20250209,0/3, 0/0,0/1, 1/7,0/2, 1/9,0/2, 0/3,1/4, 1/4,1/2, 1/3,1/5, 1/11,0/2, 0/2,1/3, 1/8,0/4, 1/5,0/3, 0/11,0/4, 0/3,1/2, 1/7,0/2, 1/9,1/6, 1/4,0/2, 1/4,1/7, 1/4,0/5, 1/9
20250206,0/1, 0/2,0/2, 1/5,0/2, 1/11,1/3, 0/3,0/2, 0/2,0/2, 1/6,1/5, 1/12,0/2, 0/4,0/2, 0/5,0/2, 1/4,0/2, 0/14,0/2, 0/1,0/2, 0/2,1/2, 1/4,0/3, 1/10,0/1, 1/2,0/1, 1/49,1/4, 1/9
20250126,0/2, 1/3,1/4, 0/4,1/7, 1/7,0/4, 0/6,0/6, 1/8,0/5, 1/10,0/7, 1/13,1/6, 1/8,0/10, 1/15,1/4, 1/4,0/7, 1/15,0/5, 1/7,0/3, 1/12,1/3, 1/12,1/4, 1/9,1/2, 0/7,0/41, 1/22,0/2, 0/3
20250123,1/3, 1/8,0/6, 1/9,0/9, 0/0,0/9, 0/0,0/3, 0/1,0/10, 0/2,0/11, 0/4,0/5, 0/6,0/5, 0/7,1/5, 1/9,0/10, 0/3,1/4, 1/7,1/4, 1/8,0/2, 1/8,1/5, 1/8,1/3, 1/9,0/15, 0/36,0/2, 1/11
20250121,0/5, 0/6,0/7, 0/2,0/7, 1/3,0/4, 1/8,0/2, 1/2,0/4, 0/1,0/9, 0/7,0/5, 0/2,0/5, 0/2,0/6, 1/10,0/5, 0/6,0/1, 0/3,0/2, 1/10,0/8, 1/5,0/6, 0/2,0/4, 1/4,0/5, 0/32,0/6, 1/8
20250119,0/3, 0/6,0/4, 0/5,0/2, 1/3,0/1, 1/6,0/5, 1/7,0/4, 0/2,0/1, 0/5,0/8, 0/0,0/7, 1/8,0/3, 1/7,0/1, 1/8,0/5, 1/3,0/2, 0/4,0/2, 0/7,0/2, 0/8,0/3, 0/1,0/8, 0/30,0/4, 1/7
20250116,0/4, 1/8,1/3, 1/4,1/10, 1/9,1/5, 1/5,0/3, 0/3,0/5, 1/8,0/7, 1/3,0/7, 1/7,0/6, 1/12,1/5, 1/1,0/8, 1/18,0/4, 1/8,0/4, 1/8,1/6, 0/7,1/4, 1/13,0/3, 1/4,0/23, 1/51,0/2, 0/2
20250114,0/3, 1/2,0/4, 1/10,1/13, 1/4,1/4, 1/15,0/5, 1/9,0/1, 0/0,0/12, 0/4,0/6, 0/0,1/12, 1/9,1/8, 1/8,1/13, 1/2,1/2, 1/9,0/1, 1/3,0/2, 1/5,1/8, 1/7,1/2, 1/10,0/45, 0/16,0/3, 1/5
20250112,0/3, 0/2,0/3, 1/7,0/7, 0/8,0/5, 1/11,1/9, 1/0,1/3, 1/2,0/1, 0/5,0/5, 0/3,0/2, 0/5,0/7, 1/7,0/6, 0/9,0/1, 1/4,1/6, 1/6,1/8, 1/5,0/6, 0/3,0/1, 1/5,0/5, 0/30,1/7, 1/7
20250109,0/6, 1/4,0/4, 1/13,1/8, 1/1,1/11, 1/3,0/4, 1/7,0/2, 0/4,1/8, 1/1,1/9, 1/8,1/14, 1/0,0/10, 1/6,1/20, 1/8,1/5, 1/4,0/4, 0/8,0/1, 0/4,0/4, 1/3,1/5, 1/5,1/31, 1/12,0/7, 1/10
20250107,0/4, 1/4,0/2, 0/7,0/2, 0/2,1/4, 0/7,1/4, 1/7,0/5, 0/3,0/1, 1/10,0/12, 0/5,0/9, 0/5,0/6, 1/10,1/10, 1/7,0/4, 0/2,1/4, 1/8,1/3, 1/4,0/4, 0/6,0/1, 0/4,1/20, 1/27,0/4, 1/13
