Date,edge1,middle1,edge2,middle2,edge3,middle3,edge4,middle4,edge5,middle5
20240903,3,2,4,2,4,3,4,2,4,1
20240901,5,2,4,2,4,2,6,2,5,2
20240829,3,2,5,1,5,1,4,2,4,1
20240827,4,2,4,2,4,1,4,3,4,2
20240825,6,3,6,3,6,3,6,3,6,3
20240822,5,2,5,1,3,4,4,3,5,3
20240820,5,2,5,3,5,2,5,2,5,1
20240818,6,3,5,3,5,3,6,3,5,3
20240815,5,1,5,2,5,1,5,2,5,1
20240813,4,1,3,2,3,1,3,1,2,2
20240811,2,1,3,1,1,3,3,1,2,1
20240808,5,3,5,3,5,3,5,3,5,3
20240806,2,1,3,1,3,2,2,3,2,2
20240804,5,5,5,4,5,4,5,5,5,4
20240801,5,2,6,2,5,2,5,2,5,1
20240730,4,0,4,1,4,2,3,1,4,1
20240728,4,2,4,2,4,2,4,2,4,2
20240725,5,2,5,1,5,1,5,1,5,1
20240723,5,1,5,0,5,1,5,0,5,0
20240721,4,2,4,2,4,2,4,2,4,2
20240718,4,2,4,2,4,2,4,2,4,2
20240716,4,1,4,1,5,1,5,2,4,1
20240714,4,4,4,4,4,4,4,4,4,4
20240711,6,3,6,3,6,3,6,3,6,3
20240709,5,2,3,1,3,3,5,2,3,1
20240707,6,1,6,0,6,1,6,1,6,0
20240704,4,4,4,4,4,4,4,4,4,4
20240702,6,1,5,1,6,1,6,1,5,1
20240630,4,1,4,1,5,1,5,1,5,1
20240627,6,3,6,2,6,3,6,2,6,3
20240625,6,0,5,2,5,1,4,1,5,1
20240623,4,2,4,2,4,2,4,2,4,2
20240620,5,4,6,3,5,4,5,4,5,4
20240618,6,0,6,0,6,0,6,0,6,1
20240616,5,0,4,1,4,1,5,1,5,0
20240613,5,1,5,1,3,2,5,1,3,2
20240611,5,3,6,4,5,3,6,4,5,4
20240609,5,2,6,3,5,3,5,3,6,3
20240606,5,2,5,2,5,2,5,2,5,2
20240604,5,2,4,3,4,3,4,3,4,3
20240602,6,2,6,2,6,3,6,2,6,3
20240530,4,3,4,3,4,3,4,3,4,3
20240528,4,2,4,2,5,1,4,2,5,1
20240526,4,2,3,1,4,2,4,1,3,2
20240523,5,4,4,3,4,2,4,3,4,4
20240521,5,4,5,3,5,4,5,3,5,3
20240519,3,1,2,2,3,1,3,1,2,2
20240516,5,3,5,3,5,3,5,3,5,3
20240514,2,3,2,3,2,3,2,3,2,3
20240512,6,3,6,3,6,2,6,3,6,2
20240509,6,2,5,2,5,2,6,2,5,2
20240507,5,2,5,2,5,2,5,2,5,2
20240505,5,3,4,4,5,2,4,3,4,3
20240502,3,1,4,1,4,1,4,1,4,1
20240430,4,4,4,3,4,3,4,3,4,4
20240428,6,2,6,2,6,2,6,2,6,2
20240425,2,3,3,2,3,3,5,4,5,4
20240423,3,3,3,3,3,3,3,3,3,3
20240421,5,1,4,1,6,1,4,1,5,1
20240418,2,2,2,3,2,3,3,2,3,1
20240416,4,2,4,2,4,2,4,2,4,2
20240414,5,2,5,2,4,2,4,2,5,2
20240411,6,4,6,4,5,4,5,4,5,3
20240409,4,0,4,0,4,0,4,1,4,0
20240407,4,2,4,2,4,2,4,3,5,2
20240404,5,2,5,2,5,2,5,2,5,3
20240402,4,3,5,4,4,3,4,3,5,4
20240331,5,3,5,3,5,3,5,3,5,2
20240328,6,3,5,2,4,2,5,3,5,2
20240326,5,3,5,3,5,3,5,3,5,3
20240324,6,3,6,2,6,2,6,3,6,2
20240321,5,4,5,3,5,3,5,3,5,3
20240319,3,2,4,2,4,2,4,2,4,2
20240317,6,1,6,1,6,1,6,1,6,1
20240314,6,1,6,1,6,3,6,3,6,1
20240312,5,2,5,2,5,2,5,3,5,2
20240310,2,5,2,5,2,5,2,5,2,5
20240307,4,3,4,1,4,2,4,1,4,2
20240305,6,2,6,1,6,1,5,3,5,2
20240303,5,2,4,1,5,2,4,2,4,1
20240229,5,3,5,2,5,3,4,1,5,2
20240227,2,4,2,4,2,4,2,4,2,4
20240225,4,4,4,4,5,4,4,4,5,4
20240222,5,3,6,3,6,3,5,4,5,3
20240220,5,2,4,3,5,3,5,2,5,2
20240218,5,2,5,4,5,2,5,3,5,3
20240206,0,4,0,4,0,4,0,3,0,4
20240204,6,1,6,1,6,1,6,1,6,1
