Date,Red1_Top1_Hit,Red1_Top1_UnHit,Red1_Top2_Hit,Red1_Top2_UnHit,Red1_Top3_Hit,Red1_Top3_UnHit,Red2_Top1_Hit,Red2_Top1_UnHit,Red2_Top2_Hit,Red2_Top2_UnHit,Red2_Top3_Hit,Red2_Top3_UnHit,Red3_Top1_Hit,Red3_Top1_UnHit,Red3_Top2_Hit,Red3_Top2_UnHit,Red3_Top3_Hit,Red3_Top3_UnHit,Red4_Top1_Hit,Red4_Top1_UnHit,Red4_Top2_Hit,Red4_Top2_UnHit,Red4_Top3_Hit,Red4_Top3_UnHit,Red5_Top1_Hit,Red5_Top1_UnHit,Red5_Top2_Hit,Red5_Top2_UnHit,Red5_Top3_Hit,Red5_Top3_UnHit,Red6_Top1_Hit,Red6_Top1_UnHit,Red6_Top2_Hit,Red6_Top2_UnHit,Red6_Top3_Hit,Red6_Top3_UnHit,RedSum_Top1_Hit,RedSum_Top1_UnHit,RedSum_Top2_Hit,RedSum_Top2_UnHit,RedSum_Top3_Hit,RedSum_Top3_UnHit,RedSum16_Top1_Hit,RedSum16_Top1_UnHit,RedSum16_Top2_Hit,RedSum16_Top2_UnHit,RedSum16_Top3_Hit,RedSum16_Top3_UnHit,RedGap16_Top1_Hit,RedGap16_Top1_UnHit,RedGap16_Top2_Hit,RedGap16_Top2_UnHit,RedGap16_Top3_Hit,RedGap16_Top3_UnHit,RedSum25_Top1_Hit,RedSum25_Top1_UnHit,RedSum25_Top2_Hit,RedSum25_Top2_UnHit,RedSum25_Top3_Hit,RedSum25_Top3_UnHit,RedGap25_Top1_Hit,RedGap25_Top1_UnHit,RedGap25_Top2_Hit,RedGap25_Top2_UnHit,RedGap25_Top3_Hit,RedGap25_Top3_UnHit,RedSum34_Top1_Hit,RedSum34_Top1_UnHit,RedSum34_Top2_Hit,RedSum34_Top2_UnHit,RedSum34_Top3_Hit,RedSum34_Top3_UnHit,RedGap12_Top1_Hit,RedGap12_Top1_UnHit,RedGap12_Top2_Hit,RedGap12_Top2_UnHit,RedGap12_Top3_Hit,RedGap12_Top3_UnHit,RedGap23_Top1_Hit,RedGap23_Top1_UnHit,RedGap23_Top2_Hit,RedGap23_Top2_UnHit,RedGap23_Top3_Hit,RedGap23_Top3_UnHit,RedGap34_Top1_Hit,RedGap34_Top1_UnHit,RedGap34_Top2_Hit,RedGap34_Top2_UnHit,RedGap34_Top3_Hit,RedGap34_Top3_UnHit,RedGap45_Top1_Hit,RedGap45_Top1_UnHit,RedGap45_Top2_Hit,RedGap45_Top2_UnHit,RedGap45_Top3_Hit,RedGap45_Top3_UnHit,RedGap56_Top1_Hit,RedGap56_Top1_UnHit,RedGap56_Top2_Hit,RedGap56_Top2_UnHit,RedGap56_Top3_Hit,RedGap56_Top3_UnHit,RedBlue_Top1_Hit,RedBlue_Top1_UnHit,RedBlue_Top2_Hit,RedBlue_Top2_UnHit,RedBlue_Top3_Hit,RedBlue_Top3_UnHit
20201217,5.7,83.6,3.6,9.7,1.6,-65.8,27.2,78.6,-1.8,14.1,-30.6,-50.8,102.1,16.0,23.4,6.8,-55.5,-2.3,24.8,110.6,6.6,35.0,-12.2,-41.8,75.9,42.2,14.9,3.7,-46.8,-34.4,10.5,76.4,0.8,14.7,-8.7,-46.2,40.4,44.7,-8.2,-17.2,-56.7,-78.5,20.7,60.5,-3.3,-3.3,-27.0,-67.9,0,135.9,0,44.6,0,-47.8,16.1,28.1,-21.5,-35.4,-59.1,-98.6,59.1,86.8,10.2,29.6,-38.7,-27.1,103.0,67.9,46.7,25.8,-9.2,-16.7,8.7,75.0,4.0,8.1,-1.0,-59.2,80.9,25.2,18.8,4.3,-43.6,-16.8,115.8,0,37.6,0,-40.7,0,38.7,0,-41.4,0,-122.2,0,1.4,14.7,-15.3,-56.4,-32.7,-128.0,0,26.7,0,-73.7,0,-174.1
20201220,7.5,123.7,0.5,53.5,-6.7,-16.6,0,111.5,0,19.5,0,-73.3,0,88.1,0,-1.4,0,-89.1,0,143.9,0,47.7,0,-49.1,-0.2,106.3,-2.0,6.1,-3.8,-93.9,0,104.8,0,34.7,0,-35.2,0,72.2,0,-37.4,0,-144.9,97.6,0,11.8,0,-75.3,0,0,179.6,0,88.1,0,-3.7,13.1,55.7,-4.1,-30.4,-20.0,-116.2,0,117.5,0,12.0,0,-96.3,0,115.1,0,15.9,0,-84.4,4.6,114.3,2.3,45.7,0.3,-23.6,26.1,22.4,-13.4,-20.9,-52.2,-65.1,0.2,11.6,-7.0,-59.9,-14.9,-130.2,0,35.8,0,-43.4,0,-122.7,30.3,23.9,-15.9,-18.7,-62.8,-61.7,18.3,46.6,-3.9,-32.0,-25.9,-108.9
20201222,9.2,151.5,4.3,79.7,-0.4,8.5,105.7,46.4,31.2,28.3,-42.6,9.8,115.9,12.2,33.1,7.6,-50.2,2.9,0,171.3,0,74.6,0,-22.4,9.0,136.9,6.0,37.1,2.7,-62.9,103.9,41.0,53.8,20.9,3.7,1.8,105.1,2.4,0.5,-1.0,-103.8,-4.4,3.2,32.2,-3.7,-46.2,-11.4,-124.4,46.0,171.8,26.5,100.1,7.4,28.1,1.4,102.3,-1.2,1.9,-3.7,-98.3,16.8,147.1,12.6,43.8,7.7,-59.2,163.5,0,63.2,0,-36.7,0,156.5,0,84.1,0,12.4,0,1.5,58.8,-5.5,-17.3,-11.9,-93.9,15.6,36.4,-10.3,-17.3,-35.5,-71.6,52.1,27.5,1.4,-2.5,-49.0,-31.3,0,56.8,0,-31.6,0,-119.1,2.3,70.8,-0.2,-28.1,-2.8,-124.7
20201224,185.8,0,110.8,0,34.8,0,0,84.9,0,-7.0,0,-100.2,0,57.6,0,-32.3,0,-120.6,9.9,202.2,7.5,107.1,5.2,12.6,66.3,117.5,26.7,55.4,-13.8,-5.4,30.1,58.2,7.1,11.9,-15.5,-34.4,0,58.5,0,-49.3,0,-157.5,10.3,59.8,-0.6,-13.8,-11.9,-87.9,192.5,11.5,108.8,3.3,26.0,-4.7,0,137.4,0,31.9,0,-71.0,182.4,0,76.4,0,-29.5,0,0,61.1,0,-39.2,0,-139.1,0.7,14.8,-6.0,-51.0,-12.7,-116.2,90.8,6.5,14.1,0.8,-62.5,-5.4,54.5,18.5,-4.2,-1.2,-63.3,-21.2,8.5,54.2,2.2,-18.7,-4.1,-90.3,66.5,32.2,10.1,0.2,-46.1,-32.0,57.3,50.9,-4.2,11.2,-64.2,-28.5
20201227,1.3,12.6,-3.7,-58.1,-8.5,-130.0,3.9,125.4,-0.4,36.0,-4.8,-53.4,9.4,86.9,-0.6,7.3,-10.5,-70.9,0,237.2,0,139.0,0,42.4,0,147.5,0,45.9,0,-57.9,0,82.5,0,11.9,0,-57.8,0,103.4,0,-5.9,0,-114.3,0,102.0,0,16.2,0,-68.9,31.4,0,-61.1,0,-155.1,0,0,178.5,0,71.8,0,-34.6,21.1,0,-88.1,0,-196.3,0,0,100.6,0,0.5,0,-99.8,16.5,37.2,-4.7,-14.3,-26.8,-65.3,10.9,18.9,-19.1,-33.9,-48.9,-86.4,0.2,33.4,-4.2,-40.8,-8.3,-116.0,79.2,13.6,13.6,0.4,-50.4,-12.4,0,75.2,0,-13.5,0,-100.7,2.9,76.7,-12.5,-7.9,-27.9,-91.0
20201229,42.0,9.1,-23.8,-1.4,-90.0,-11.4,0,165.0,0,71.7,0,-21.4,6.9,116.8,3.2,32.3,0.0,-51.2,57.1,230.0,36.1,153.9,14.4,78.9,23.0,174.9,1.6,95.5,-20.4,14.7,79.4,43.2,33.1,18.8,-12.3,-5.7,25.8,118.2,4.7,29.5,-16.4,-59.9,113.5,28.7,46.0,9.6,-21.8,-10.2,6.5,17.0,-23.1,-47.5,-52.9,-111.6,9.7,208.4,5.1,108.0,0.4,5.1,0,32.1,0,-76.3,0,-184.6,17.2,122.2,4.5,35.5,-8.2,-51.5,0,69.6,0,-3.2,0,-76.1,7.0,37.9,-15.1,-22.7,-37.4,-83.3,73.6,0,-3.6,0,-82.2,0,22.2,15.4,-24.5,-14.8,-72.4,-45.7,25.9,95.5,3.4,29.4,-18.2,-36.2,91.9,20.3,19.4,-5.2,-53.2,-30.4
20201231,10.1,9.2,-8.6,-49.5,-27.4,-107.3,82.7,129.8,53.6,67.1,24.0,3.9,0,154.5,0,65.5,0,-22.7,144.7,104.2,88.9,62.1,32.7,20.0,4.7,202.4,-2.6,109.3,-10.4,15.3,1.9,80.1,-1.4,12.4,-4.5,-54.1,0,163.3,0,52.8,0,-59.2,0,81.5,0,-3.2,0,-87.8,27.8,20.8,-21.3,-22.2,-70.9,-65.5,25.5,215.0,14.2,123.0,3.3,30.5,59.5,12.8,-31.1,-5.2,-120.8,-22.7,1.4,152.2,-0.6,52.4,-2.5,-47.6,86.6,30.0,33.0,10.1,-22.3,-9.4,7.1,69.2,3.1,-10.7,-0.9,-89.9,1.2,8.4,-1.2,-67.2,-3.6,-142.3,15.6,38.8,-12.6,-11.5,-40.9,-62.3,65.0,56.5,14.1,21.3,-35.9,-14.7,0,50.7,0,-51.5,0,-152.9
20210103,42.9,0,-33.9,0,-111.4,0,0,180.6,0,86.5,0,-8.0,175.5,16.9,95.4,9.1,16.7,1.5,0,200.6,0,103.5,0,5.2,0,231.9,0,134.7,0,34.8,56.8,61.0,17.2,29.8,-21.8,-0.5,0,205.5,0,96.3,0,-13.5,103.4,15.2,29.6,4.3,-44.2,-5.5,1.0,57.9,-1.6,-33.2,-3.8,-123.8,0,257.0,0,152.6,0,49.5,7.0,41.9,-20.3,-37.0,-48.2,-116.8,187.5,4.9,89.6,1.8,-7.3,-1.0,0,60.5,0,-12.8,0,-85.2,0.8,115.5,-1.3,34.8,-3.4,-47.4,30.4,14.1,-22.8,-8.9,-76.9,-31.7,80.2,0,2.5,0,-74.6,0,0,98.6,0,11.7,0,-75.0,50.6,40.2,-8.4,-3.1,-66.4,-46.2
20210105,14.5,7.8,-36.3,-20.0,-85.9,-48.1,184.8,35.2,106.0,19.3,27.1,3.6,53.0,0,-35.5,0,-123.3,0,14.2,182.2,-2.9,98.7,-20.3,15.6,192.3,79.3,119.5,53.9,45.7,27.9,25.1,76.6,16.0,16.1,7.1,-44.4,236.7,13.1,134.0,7.1,28.7,1.4,13.1,34.6,-23.9,-10.2,-60.8,-57.0,81.7,13.0,-4.1,4.6,-88.3,-3.5,237.7,56.9,156.6,34.4,74.6,11.4,68.0,4.1,-31.4,-4.2,-130.4,-12.4,40.4,5.8,-36.0,-18.3,-112.7,-41.9,89.1,8.3,22.0,2.5,-45.6,-3.3,34.2,119.3,14.7,55.8,-4.7,-8.3,2.9,34.4,1.1,-39.8,-0.8,-114.9,5.6,28.8,-5.8,-35.6,-17.1,-101.3,143.7,0,57.0,0,-29.6,0,64.4,0,-34.1,0,-134.0,0
20210107,38.2,0,-38.4,0,-115.4,0,14.3,59.5,-39.2,16.5,-91.7,-26.4,7.2,29.6,-9.5,-40.7,-26.6,-111.5,113.0,97.5,69.4,40.7,24.1,-15.4,30.2,124.2,2.0,53.1,-26.6,-17.8,53.6,65.0,17.1,32.0,-19.8,-0.9,18.3,117.0,-12.1,38.3,-41.8,-39.1,50.5,19.1,-2.2,-10.1,-54.9,-39.1,16.7,16.2,-38.2,-22.0,-92.4,-59.4,25.2,92.5,-15.0,27.7,-55.0,-36.2,19.5,2.8,-29.2,-58.3,-77.8,-118.2,34.9,10.7,-42.0,-10.1,-120.6,-30.7,3.4,26.9,-14.2,-29.5,-32.3,-86.4,4.0,141.1,2.5,58.8,1.1,-22.0,5.7,67.4,-3.4,0.9,-13.0,-66.1,65.5,2.4,-6.9,-1.4,-78.4,-5.5,2.2,17.6,-6.4,-61.0,-14.7,-139.2,12.7,0,-86.4,0,-185.7,0
